province_code,province,diagnosis,diagnosis_95%_CI_lower,diagnosis_95%_CI_upper,diagnosis_or_symptoms,diagnosis_or_symptoms_95%_CI_lower,diagnosis_or_symptoms_95%_CI_upper,weighted_n
11,Aceh,2.0,1.5,2.7,22.1,20.4,23.9,1930
12,Sumatera Utara,0.8,0.6,1.1,21.0,19.3,22.8,5446
13,Sumatera Barat,3.8,3.0,4.9,29.8,27.6,32.1,1910
14,Riau,1.4,0.9,2.0,19.4,17.3,21.6,2290
15,Jambi,1.5,0.9,2.4,18.8,16.5,21.4,1229
16,Sumatera Selatan,3.8,2.8,5.1,25.4,23.1,27.8,2856
17,Bengkulu,4.4,3.2,5.9,24.6,21.5,27.9,696
18,Lampung,4.0,3.0,5.3,26.1,23.6,28.8,3023
19,Kep. Bangka Belitung,1.6,0.9,2.9,22.8,19.8,26.2,489
21,Kepulauan Riau,1.8,1.2,2.8,19.8,15.9,24.4,738
31,DKI Jakarta,6.0,4.3,8.4,34.5,30.3,38.8,2893
32,Jawa Barat,4.9,4.2,5.8,44.0,42.2,45.8,15291
33,Jawa Tengah,6.7,5.9,7.8,41.0,39.3,42.7,10716
34,DI Yogyakarta,3.5,2.1,5.9,49.1,44.3,53.9,930
35,Jawa Timur,8.8,7.8,10.0,37.5,35.7,39.3,11052
36,Banten,8.7,6.9,11.1,44.6,41.1,48.1,3819
51,Bali,6.64,5.1,8.7,33.0,29.5,36.8,1205
52,Nusa Tenggara Barat,3.58,2.6,4.9,38.5,34.9,42.1,1953
53,Nusa Tenggara Timur,6.48,5.5,7.6,41.6,39.6,43.7,2191
61,Kalimantan Barat,1.88,1.2,2.9,23.8,21.2,26.5,1892
62,Kalimantan Tengah,1.5,1.0,2.3,18.4,15.8,21.4,923
63,Kalimantan Selatan,1.87,1.3,2.7,24.8,22.4,27.4,1389
64,Kalimantan Timur,3.01,2.1,4.3,33.5,30.4,36.9,1247
65,Kalimantan Utara,1.63,0.8,3.4,25.0,20.8,29.8,245
71,Sulawesi Utara,1.98,1.3,2.9,21.9,19.3,24.7,766
72,Sulawesi Tengah,2.3,1.4,3.7,31.7,28.9,34.7,1044
73,Sulawesi Selatan,0.79,0.5,1.3,32.6,30.6,34.7,2990
74,Sulawesi Tenggara,1.46,1.0,2.1,26.7,24.5,29.0,1018
75,Gorontalo,1.1,0.5,2.4,18.1,15.0,21.7,402
76,Sulawesi Barat,0.67,0.3,1.4,29.0,25.1,33.1,553
82,Maluku,2.14,1.5,3.1,17.6,15.1,20.4,682
81,Maluku Utara,1.99,1.3,2.9,16.4,14.1,18.9,477
92,Papua Barat,4.98,3.6,6.8,31.6,26.9,36.6,212
96,Papua Barat Daya,5.3,3.6,7.7,28.7,24.3,33.6,230
91,Papua,8.1,5.8,11.2,29.9,25.7,34.4,433
93,Papua Selatan,5.8,3.9,8.7,37.7,32.2,43.6,288
94,Papua Tengah,11.8,9.0,15.4,32.7,27.0,39.0,467
95,Papua Pegunungan,10.7,5.9,18.7,37.6,30.5,45.3,450
0,INDONESIA,4.8,4.6,5.1,34.2,33.6,34.8,86364
