province_code,province,asthma_based_on_doctor_diagnosis,asthma_based_on_doctor_diagnosis_95%_CI_lower,asthma_based_on_doctor_diagnosis_95%_CI_upper,weighted_n
11,Aceh,1.0,0.9,1.2,17271
12,Sumatera Utara,0.5,0.4,0.6,48469
13,Sumatera Barat,1.5,1.3,1.7,18138
14,Riau,1.2,1.0,1.4,20925
15,Jambi,0.8,0.6,1.0,11588
16,Sumatera Selatan,1.2,1.1,1.4,27532
17,Bengkulu,1.4,1.1,1.7,6571
18,Lampung,1.4,1.2,1.6,29331
19,Kep. Bangka Belitung,1.6,1.4,1.9,4763
21,Kepulauan Riau,1.7,1.4,2.1,6782
31,DKI Jakarta,1.9,1.6,2.4,33552
32,Jawa Barat,2.4,2.2,2.6,156977
33,Jawa Tengah,1.3,1.2,1.4,118184
34,DI Yogyakarta,3.5,3.0,4.0,11757
35,Jawa Timur,1.7,1.6,1.8,130683
36,Banten,1.9,1.6,2.3,38751
51,Bali,2.0,1.7,2.3,13859
52,Nusa Tenggara Barat,2.3,1.9,2.6,17522
53,Nusa Tenggara Timur,1.3,1.2,1.5,17550
61,Kalimantan Barat,1.5,1.3,1.8,17713
62,Kalimantan Tengah,1.7,1.5,2.0,8737
63,Kalimantan Selatan,1.7,1.5,1.9,13299
64,Kalimantan Timur,2.4,2.1,2.8,12360
65,Kalimantan Utara,1.8,1.4,2.3,2300
71,Sulawesi Utara,1.0,0.8,1.2,8439
72,Sulawesi Tengah,2.1,1.8,2.5,9721
73,Sulawesi Selatan,1.3,1.2,1.5,29481
74,Sulawesi Tenggara,1.6,1.4,1.9,8664
76,Sulawesi Barat,1.1,0.8,1.6,4667
82,Maluku,1.1,0.9,1.3,6050
81,Maluku Utara,1.0,0.8,1.3,4213
92,Papua Barat,1.3,0.9,1.8,1795
96,Papua Barat Daya,1.6,1.2,2.2,1947
91,Papua,1.4,1.1,1.8,3299
93,Papua Selatan,2.3,1.7,3.1,1684
94,Papua Tengah,1.4,1.0,2.1,4577
95,Papua Pegunungan,0.7,0.3,1.6,4563
0,INDONESIA,1.6,1.6,1.7,877531
