province_code,province,receive_dm_treatment_education,receive_dm_treatment_education_95%_CI_lower,receive_dm_treatment_education_95%_CI_upper,adherence_dm_treatment,adherence_dm_treatment_95%_CI_lower,adherence_dm_treatment_95%_CI_upper,weighted_n
11,Aceh,76.3,71.6,80.4,87.4,84.2,90.0,261
12,Sumatera Utara,76.8,71.6,81.4,88.8,84.9,91.8,640
13,Sumatera Barat,89.5,85.0,92.7,88.7,84.3,91.9,205
14,Riau,83.8,78.2,88.2,90.8,86.1,94.0,286
15,Jambi,91.0,85.5,94.5,92.1,87.3,95.2,103
16,Sumatera Selatan,83.6,78.0,88.0,89.9,85.6,93.1,303
17,Bengkulu,87.9,81.5,92.3,92.8,87.7,95.9,64
18,Lampung,74.8,66.6,81.6,88.8,83.2,92.7,317
19,Kep. Bangka Belitung,83.2,77.4,87.6,89.4,84.9,92.7,96
21,Kepulauan Riau,63.5,50.8,74.7,94.0,86.2,97.5,106
31,DKI Jakarta,91.6,87.6,94.4,90.8,85.8,94.1,953
32,Jawa Barat,80.7,77.1,83.9,90.3,87.7,92.4,2439
33,Jawa Tengah,78.4,75.6,80.9,86.8,84.4,88.8,2002
34,DI Yogyakarta,80.8,74.4,85.8,88.0,83.4,91.5,315
35,Jawa Timur,80.1,77.5,82.5,88.5,86.3,90.5,2669
36,Banten,90.9,86.1,94.2,93.7,89.9,96.1,714
51,Bali,92.7,88.4,95.5,94.2,90.2,96.6,222
52,Nusa Tenggara Barat,72.6,66.2,78.1,91.4,86.0,94.9,225
53,Nusa Tenggara Timur,74.7,67.9,80.6,90.5,85.1,94.1,114
61,Kalimantan Barat,85.3,78.9,89.9,93.7,90.1,96.1,197
62,Kalimantan Tengah,82.7,74.2,88.8,88.7,81.6,93.4,112
63,Kalimantan Selatan,81.3,75.7,85.9,87.0,81.7,90.9,165
64,Kalimantan Timur,80.5,74.4,85.4,87.0,81.8,90.9,259
65,Kalimantan Utara,87.7,77.7,93.6,90.7,80.3,95.9,33
71,Sulawesi Utara,81.2,75.4,85.9,92.3,88.8,94.7,165
72,Sulawesi Tengah,77.9,71.6,83.1,91.5,87.8,94.1,141
73,Sulawesi Selatan,81.9,77.6,85.6,90.7,87.0,93.5,402
74,Sulawesi Tenggara,67.6,60.1,74.3,91.8,87.7,94.7,90
76,Sulawesi Barat,79.9,68.9,87.8,95.7,90.9,98.0,42
82,Maluku,70.2,58.5,79.7,86.3,77.0,92.2,35
81,Maluku Utara,81.2,72.3,87.8,93.9,87.8,97.1,31
92,Papua Barat,82.6,60.3,93.7,90.1,80.3,95.3,18
96,Papua Barat Daya,92.0,79.0,97.2,88.4,66.6,96.7,19
91,Papua,82.3,71.9,89.4,84.1,73.3,91.0,38
93,Papua Selatan,76.1,57.5,88.2,87.6,72.1,95.1,16
94,Papua Tengah,86.5,61.1,96.3,82.5,62.0,93.2,27
95,Papua Pegunungan,100.0,100.0,100.0,92.6,90.7,94.1,3
0,INDONESIA,81.4,80.4,82.4,89.5,88.7,90.3,13891
