province_code,province,diet_management,exercise,herbal_alternatives,weighted_n
11,Aceh,83.9,34.3,36.8,285
12,Sumatera Utara,85.9,44.9,32.5,684
13,Sumatera Barat,84.5,45.3,44.0,226
14,Riau,82.0,42.3,39.9,318
15,Jambi,87.9,42.9,39.2,109
16,Sumatera Selatan,87.1,31.0,37.7,333
17,Bengkulu,90.1,41.1,40.0,70
18,Lampung,88.8,33.1,28.2,349
19,Kep. Bangka Belitung,81.1,27.8,39.1,102
21,Kepulauan Riau,91.0,48.2,34.6,110
31,DKI Jakarta,83.6,48.9,23.0,1034
32,Jawa Barat,73.4,43.5,29.6,2607
33,Jawa Tengah,82.4,40.1,21.5,2146
34,DI Yogyakarta,83.0,40.4,20.4,337
35,Jawa Timur,80.1,40.4,25.1,2831
36,Banten,83.0,53.6,29.7,735
51,Bali,90.2,47.4,21.5,231
52,Nusa Tenggara Barat,87.3,43.5,39.9,232
53,Nusa Tenggara Timur,87.4,41.6,36.6,125
61,Kalimantan Barat,74.4,29.5,35.0,220
62,Kalimantan Tengah,85.4,35.5,44.4,123
63,Kalimantan Selatan,83.0,31.3,32.5,182
64,Kalimantan Timur,76.7,45.6,37.1,291
65,Kalimantan Utara,89.3,46.6,36.2,34
71,Sulawesi Utara,90.4,35.4,26.5,175
72,Sulawesi Tengah,81.4,37.6,35.4,161
73,Sulawesi Selatan,82.7,35.2,37.2,455
74,Sulawesi Tenggara,87.3,33.3,44.2,100
76,Sulawesi Barat,83.0,32.9,48.4,47
82,Maluku,85.1,31.4,37.4,39
81,Maluku Utara,90.7,40.0,43.9,36
92,Papua Barat,80.6,44.3,45.0,19
96,Papua Barat Daya,91.8,43.2,56.8,20
91,Papua,88.3,59.7,51.2,41
93,Papua Selatan,94.7,57.1,32.6,18
94,Papua Tengah,86.7,55.0,62.0,33
95,Papua Pegunungan,82.2,24.2,27.7,8
0,INDONESIA,81.4,41.7,29.2,14935
