province_code,province,frequent_hunger,frequent_thirst,frequent_unarination,weight_loss,weighted_n
11,Aceh,2.4,3.6,1.0,0.7,16985
12,Sumatera Utara,3.5,3.6,1.4,1.0,47784
13,Sumatera Barat,1.4,1.9,1.0,0.8,17911
14,Riau,0.9,1.2,0.6,0.6,20607
15,Jambi,1.1,1.7,0.4,0.3,11479
16,Sumatera Selatan,1.6,2.0,1.1,0.5,27198
17,Bengkulu,1.0,1.1,0.8,0.5,6501
18,Lampung,1.0,1.3,0.7,0.3,28981
19,Kep. Bangka Belitung,0.5,0.9,0.4,0.3,4661
21,Kepulauan Riau,1.4,1.9,0.9,0.7,6672
31,DKI Jakarta,2.3,3.4,1.5,0.8,32520
32,Jawa Barat,3.3,4.6,2.6,1.6,154370
33,Jawa Tengah,1.3,1.7,1.1,0.7,116039
34,DI Yogyakarta,1.8,2.5,1.4,0.7,11420
35,Jawa Timur,1.3,1.8,0.9,0.5,127855
36,Banten,3.5,4.4,2.0,1.1,38017
51,Bali,0.7,0.8,0.5,0.2,13628
52,Nusa Tenggara Barat,2.0,2.4,1.6,0.5,17290
53,Nusa Tenggara Timur,5.6,5.3,2.8,1.6,17424
61,Kalimantan Barat,0.8,1.2,0.5,0.4,17492
62,Kalimantan Tengah,1.0,1.2,0.5,0.3,8615
63,Kalimantan Selatan,1.3,2.3,0.7,0.4,13116
64,Kalimantan Timur,2.7,3.8,2.0,1.3,12069
65,Kalimantan Utara,1.5,1.4,0.6,0.5,2265
71,Sulawesi Utara,4.3,5.8,3.5,1.6,8264
72,Sulawesi Tengah,4.6,4.7,2.6,1.7,9559
73,Sulawesi Selatan,6.1,7.5,3.5,2.0,29025
74,Sulawesi Tenggara,5.2,5.4,1.9,1.1,8563
76,Sulawesi Barat,4.6,4.9,2.0,1.2,4619
82,Maluku,5.0,4.7,2.2,1.4,6010
81,Maluku Utara,4.5,4.2,1.4,0.9,4176
92,Papua Barat,2.8,2.7,1.4,1.2,1776
96,Papua Barat Daya,5.6,5.8,2.6,1.4,1927
91,Papua,3.0,3.8,1.8,1.4,3257
93,Papua Selatan,7.5,6.0,1.8,1.6,1665
94,Papua Tengah,10.5,10.4,3.8,2.3,4544
95,Papua Pegunungan,14.8,17.4,3.6,3.5,4554
