province_code,province,heart_disease_by_doctor_diagnosis,heart_disease_by_doctor_diagnosis_95%_CI_lower,heart_disease_by_doctor_diagnosis_95%_CI_upper,weighted_n
11,Aceh,0.77,0.66,0.91,17271
12,Sumatera Utara,0.6,0.5,0.71,48469
13,Sumatera Barat,0.87,0.74,1.03,18138
14,Riau,0.53,0.43,0.66,20925
15,Jambi,0.47,0.36,0.62,11588
16,Sumatera Selatan,0.58,0.48,0.71,27532
17,Bengkulu,0.63,0.48,0.83,6571
18,Lampung,0.58,0.47,0.72,29331
19,Kep. Bangka Belitung,0.87,0.71,1.05,4763
21,Kepulauan Riau,0.91,0.66,1.24,6782
31,DKI Jakarta,1.56,1.32,1.85,33552
32,Jawa Barat,1.18,1.07,1.3,156977
33,Jawa Tengah,0.79,0.72,0.87,118184
34,DI Yogyakarta,1.67,1.41,1.98,11757
35,Jawa Timur,0.88,0.8,0.97,130683
36,Banten,0.78,0.63,0.98,38751
51,Bali,1.0,0.84,1.18,13859
52,Nusa Tenggara Barat,0.49,0.35,0.68,17522
53,Nusa Tenggara Timur,0.44,0.37,0.53,17550
61,Kalimantan Barat,0.55,0.44,0.7,17713
62,Kalimantan Tengah,0.54,0.43,0.69,8737
63,Kalimantan Selatan,0.66,0.55,0.81,13299
64,Kalimantan Timur,1.08,0.89,1.31,12360
65,Kalimantan Utara,0.95,0.68,1.33,2300
71,Sulawesi Utara,0.82,0.69,0.98,8439
72,Sulawesi Tengah,0.65,0.54,0.79,9721
73,Sulawesi Selatan,0.69,0.58,0.82,29481
74,Sulawesi Tenggara,0.51,0.41,0.63,8664
76,Sulawesi Barat,0.37,0.25,0.54,4667
82,Maluku,0.44,0.32,0.59,6050
81,Maluku Utara,0.27,0.18,0.39,4213
92,Papua Barat,0.51,0.28,0.94,1795
96,Papua Barat Daya,0.51,0.31,0.84,1947
91,Papua,0.68,0.41,1.1,3299
93,Papua Selatan,0.38,0.22,0.66,1684
94,Papua Tengah,1.65,0.6,4.43,4577
95,Papua Pegunungan,0.11,0.04,0.3,4563
0,INDONESIA,0.85,0.82,0.88,877531
