province_code,province,feeling_weel,no_medicine,cannot_tolerate_side_effect,taking_traditional_medicine,bored_lazy_forgot,taken_only_during_pregnancy,others,weighted_n
11,Aceh,67.7,1.2,2.6,12.3,14.9,0.2,1.2,584
12,Sumatera Utara,51.6,2.0,3.1,11.9,28.9,1.2,1.4,849
13,Sumatera Barat,48.5,1.8,6.1,12.6,28.3,0.9,1.7,538
14,Riau,53.6,1.4,2.8,12.2,27.8,0.3,1.9,601
15,Jambi,51.2,2.3,3.2,12.6,29.2,0.4,1.0,250
16,Sumatera Selatan,57.2,2.6,5.0,11.1,21.0,0.6,2.5,766
17,Bengkulu,56.0,2.1,4.2,12.5,22.8,0.9,1.4,197
18,Lampung,69.4,2.0,3.6,7.5,15.6,0.5,1.5,1014
19,Kep. Bangka Belitung,50.0,2.8,5.3,12.0,28.3,1.1,0.5,145
21,Kepulauan Riau,41.2,2.0,13.0,12.1,29.2,1.1,1.4,144
31,DKI Jakarta,49.5,3.0,6.2,3.4,33.3,3.1,1.5,1192
32,Jawa Barat,64.9,2.8,3.1,6.3,18.1,2.1,2.8,6267
33,Jawa Tengah,70.0,2.3,3.5,6.2,14.0,1.6,2.5,3758
34,DI Yogyakarta,67.5,1.8,4.5,5.3,14.8,3.0,3.2,534
35,Jawa Timur,70.5,2.2,3.2,5.2,14.4,1.5,3.1,4423
36,Banten,65.3,1.1,3.5,4.2,20.4,0.7,4.9,1492
51,Bali,72.3,1.4,5.0,3.7,13.9,0.1,3.6,306
52,Nusa Tenggara Barat,66.1,3.2,0.8,10.2,16.1,1.0,2.7,526
53,Nusa Tenggara Timur,42.2,3.8,3.6,16.4,28.3,1.7,4.0,395
61,Kalimantan Barat,49.3,1.5,3.3,13.3,30.3,0.8,1.5,530
62,Kalimantan Tengah,63.9,2.1,2.9,5.0,22.9,0.0,3.2,295
63,Kalimantan Selatan,64.3,2.2,2.9,5.2,21.0,1.9,2.5,422
64,Kalimantan Timur,53.9,1.8,4.7,10.9,25.6,0.9,2.1,523
65,Kalimantan Utara,58.5,2.5,5.9,6.2,23.6,1.5,1.9,57
71,Sulawesi Utara,56.4,2.0,3.2,10.9,25.1,0.7,1.7,240
72,Sulawesi Tengah,56.5,4.2,1.8,10.7,20.4,1.0,5.4,300
73,Sulawesi Selatan,54.5,3.7,4.6,15.1,18.1,0.8,3.2,686
74,Sulawesi Tenggara,50.1,1.6,2.3,21.2,22.6,0.4,1.7,192
76,Sulawesi Barat,51.9,2.4,2.5,28.6,9.9,0.0,4.6,113
82,Maluku,44.0,3.3,3.6,20.6,26.1,1.2,1.2,79
81,Maluku Utara,57.1,3.3,2.5,16.1,16.3,1.4,3.3,67
92,Papua Barat,39.5,2.4,2.0,17.3,34.7,0.3,3.9,41
96,Papua Barat Daya,44.1,1.9,3.2,18.3,31.2,0.0,1.3,39
91,Papua,46.9,1.5,6.4,15.8,26.3,0.0,3.1,86
93,Papua Selatan,47.0,5.5,3.6,16.9,24.9,1.0,1.1,32
94,Papua Tengah,46.4,4.2,2.9,13.8,25.8,0.0,6.9,56
95,Papua Pegunungan,17.0,3.9,0.0,47.7,30.6,0.0,0.8,61
0,INDONESIA,62.8,2.3,3.5,7.9,19.3,1.4,2.7,27908
