province_code,province,cancer_based_doctor_diagnosis,cancer_based_doctor_diagnosis_95%_CI_lower,cancer_based_doctor_diagnosis_95%_CI_upper,weighted_n
11,Aceh,0.7,0.5,1.0,17271
12,Sumatera Utara,0.9,0.5,1.7,48469
13,Sumatera Barat,2.0,1.5,2.7,18138
14,Riau,1.0,0.6,1.6,20925
15,Jambi,0.7,0.4,1.1,11588
16,Sumatera Selatan,0.8,0.5,1.3,27532
17,Bengkulu,0.7,0.4,1.2,6571
18,Lampung,1.2,0.7,2.1,29331
19,Kep. Bangka Belitung,0.8,0.4,1.4,4763
21,Kepulauan Riau,0.8,0.4,1.8,6782
31,DKI Jakarta,2.4,1.5,3.8,33552
32,Jawa Barat,1.1,0.8,1.4,156977
33,Jawa Tengah,1.7,1.4,2.1,118184
34,DI Yogyakarta,3.6,2.6,5.0,11757
35,Jawa Timur,1.4,1.1,1.7,130683
36,Banten,1.2,0.7,2.0,38751
51,Bali,1.4,0.9,2.2,13859
52,Nusa Tenggara Barat,0.8,0.4,1.6,17522
53,Nusa Tenggara Timur,0.8,0.5,1.2,17550
61,Kalimantan Barat,0.8,0.5,1.4,17713
62,Kalimantan Tengah,0.8,0.4,1.7,8737
63,Kalimantan Selatan,0.8,0.5,1.3,13299
64,Kalimantan Timur,1.4,0.8,2.5,12360
65,Kalimantan Utara,1.1,0.5,2.5,2300
71,Sulawesi Utara,1.2,0.6,2.0,8439
72,Sulawesi Tengah,0.9,0.5,1.7,9721
73,Sulawesi Selatan,0.8,0.6,1.2,29481
74,Sulawesi Tenggara,0.6,0.4,1.1,8664
76,Sulawesi Barat,0.4,0.2,1.0,4667
82,Maluku,0.8,0.4,1.6,6050
81,Maluku Utara,0.4,0.1,1.2,4213
92,Papua Barat,0.7,0.2,2.4,1795
96,Papua Barat Daya,0.6,0.1,2.5,1947
91,Papua,0.5,0.2,1.1,3299
93,Papua Selatan,1.9,0.6,6.6,1684
94,Papua Tengah,1.2,0.5,2.7,4577
95,Papua Pegunungan,0.0,0.0,0.3,4563
0,INDONESIA,1.2,1.1,1.3,877531
