province_code,province,diabetes_mellitus_based_doctor_diagnosis,diabetes_mellitus_based_doctor_diagnosis_95%_CI_lower,diabetes_mellitus_based_doctor_diagnosis_95%_CI_upper,weighted_n
11,Aceh,1.6,1.5,1.8,17271
12,Sumatera Utara,1.4,1.2,1.6,48469
13,Sumatera Barat,1.2,1.1,1.4,18138
14,Riau,1.5,1.3,1.7,20925
15,Jambi,0.9,0.8,1.1,11588
16,Sumatera Selatan,1.2,1.1,1.4,27532
17,Bengkulu,1.1,0.9,1.3,6571
18,Lampung,1.2,1.0,1.4,29331
19,Kep. Bangka Belitung,2.1,1.8,2.4,4763
21,Kepulauan Riau,1.6,1.3,2.0,6782
31,DKI Jakarta,3.1,2.7,3.5,33552
32,Jawa Barat,1.7,1.5,1.8,156977
33,Jawa Tengah,1.8,1.7,1.9,118184
34,DI Yogyakarta,2.9,2.5,3.3,11757
35,Jawa Timur,2.2,2.0,2.3,130683
36,Banten,1.9,1.6,2.2,38751
51,Bali,1.7,1.4,1.9,13859
52,Nusa Tenggara Barat,1.3,1.1,1.5,17522
53,Nusa Tenggara Timur,0.7,0.6,0.8,17550
61,Kalimantan Barat,1.2,1.1,1.4,17713
62,Kalimantan Tengah,1.4,1.2,1.7,8737
63,Kalimantan Selatan,1.4,1.2,1.6,13299
64,Kalimantan Timur,2.3,2.1,2.7,12360
65,Kalimantan Utara,1.5,1.2,1.9,2300
71,Sulawesi Utara,2.1,1.8,2.3,8439
72,Sulawesi Tengah,1.7,1.4,1.9,9721
73,Sulawesi Selatan,1.5,1.4,1.7,29481
74,Sulawesi Tenggara,1.2,1.0,1.3,8664
76,Sulawesi Barat,1.0,0.8,1.3,4667
82,Maluku,0.6,0.5,0.8,6050
81,Maluku Utara,0.9,0.7,1.1,4213
92,Papua Barat,1.1,0.8,1.5,1795
96,Papua Barat Daya,1.0,0.7,1.4,1947
91,Papua,1.2,0.9,1.6,3299
93,Papua Selatan,1.1,0.7,1.5,1684
94,Papua Tengah,0.7,0.5,1.1,4577
95,Papua Pegunungan,0.2,0.1,0.5,4563
0,INDONESIA,1.7,1.6,1.7,877531
