province_code,province,disabilities,disabilities_95%_CI_lower,disabilities_95%_CI_upper,weighted_n
11,Aceh,1.0,0.9,1.1,16993
12,Sumatera Utara,0.9,0.8,1.1,47607
13,Sumatera Barat,1.1,1.0,1.3,17823
14,Riau,0.6,0.5,0.7,20561
15,Jambi,0.5,0.4,0.6,11417
16,Sumatera Selatan,0.7,0.6,0.8,27097
17,Bengkulu,0.6,0.5,0.8,6465
18,Lampung,1.0,0.9,1.2,28877
19,Kep. Bangka Belitung,0.9,0.7,1.1,4695
21,Kepulauan Riau,0.9,0.5,1.5,6665
31,DKI Jakarta,1.1,0.8,1.4,33063
32,Jawa Barat,1.5,1.3,1.6,154476
33,Jawa Tengah,1.3,1.2,1.4,116315
34,DI Yogyakarta,1.7,1.4,2.0,11603
35,Jawa Timur,1.2,1.1,1.3,128796
36,Banten,1.0,0.8,1.3,38149
51,Bali,1.0,0.8,1.2,13648
52,Nusa Tenggara Barat,0.9,0.8,1.2,17203
53,Nusa Tenggara Timur,1.4,1.2,1.5,17184
61,Kalimantan Barat,1.0,0.8,1.2,17454
62,Kalimantan Tengah,0.7,0.6,1.0,8587
63,Kalimantan Selatan,0.9,0.7,1.1,13061
64,Kalimantan Timur,1.2,1.0,1.5,12163
65,Kalimantan Utara,0.7,0.5,1.1,2259
71,Sulawesi Utara,1.1,0.9,1.3,8292
72,Sulawesi Tengah,1.4,1.2,1.6,9521
73,Sulawesi Selatan,1.6,1.5,1.8,28969
74,Sulawesi Tenggara,0.9,0.8,1.1,8494
75,Gorontalo,1.3,1.1,1.7,3753
76,Sulawesi Barat,0.9,0.7,1.2,4570
82,Maluku,0.7,0.6,0.9,5933
81,Maluku Utara,0.8,0.6,1.1,4140
92,Papua Barat,0.7,0.4,1.2,1762
96,Papua Barat Daya,0.8,0.5,1.1,1904
91,Papua,0.8,0.5,1.1,3230
93,Papua Selatan,0.8,0.5,1.3,1649
94,Papua Tengah,1.3,0.8,2.1,4515
95,Papua Pegunungan,1.6,1.0,2.5,4510
0,INDONESIA,1.2,1.1,1.2,863402
