province_code,province,disability,disability_95%_CI_lower,disability_95%_CI_upper,weighted_n
11,Aceh,5.8,5.0,6.7,9616
12,Sumatera Utara,4.7,4.1,5.4,26830
13,Sumatera Barat,4.4,3.8,5.1,10096
14,Riau,3.6,3.1,4.1,11885
15,Jambi,2.4,2.1,2.9,6416
16,Sumatera Selatan,3.9,3.4,4.5,15470
17,Bengkulu,2.4,1.9,3.1,3782
18,Lampung,2.6,2.2,3.1,16456
19,Kep. Bangka Belitung,2.9,2.3,3.5,2780
21,Kepulauan Riau,3.7,2.8,4.8,3998
31,DKI Jakarta,5.3,4.5,6.3,19996
32,Jawa Barat,8.1,7.5,8.9,90972
33,Jawa Tengah,5.9,5.4,6.4,66959
34,DI Yogyakarta,7.0,5.9,8.2,6555
35,Jawa Timur,3.0,2.7,3.3,75205
36,Banten,6.3,4.9,8.0,22560
51,Bali,1.3,1.0,1.6,8001
52,Nusa Tenggara Barat,3.1,2.5,3.7,9737
53,Nusa Tenggara Timur,6.1,5.4,6.8,9339
61,Kalimantan Barat,4.2,3.5,5.0,10140
62,Kalimantan Tengah,3.4,2.9,4.0,5053
63,Kalimantan Selatan,4.4,3.7,5.1,7578
64,Kalimantan Timur,8.7,7.4,10.1,7289
65,Kalimantan Utara,4.1,2.9,6.0,1347
71,Sulawesi Utara,6.9,6.0,7.9,4761
72,Sulawesi Tengah,5.7,5.0,6.5,5525
73,Sulawesi Selatan,7.9,7.2,8.8,16687
74,Sulawesi Tenggara,6.0,5.2,7.0,4770
75,Gorontalo,3.5,2.9,4.3,2230
76,Sulawesi Barat,7.6,5.8,9.8,2587
82,Maluku,3.7,3.0,4.5,3425
81,Maluku Utara,4.5,3.5,5.7,2384
92,Papua Barat,10.5,7.5,14.4,1039
96,Papua Barat Daya,6.9,5.3,9.0,1142
91,Papua,6.7,5.0,8.9,1715
93,Papua Selatan,2.1,1.5,3.0,811
94,Papua Tengah,8.8,5.1,14.6,2885
95,Papua Pegunungan,5.5,3.7,8.0,3016
0,INDONESIA,5.3,5.2,5.5,501037
