province_code,province,cognitive_domain,cognitive_domain_95%_CI_lower,cognitive_domain_95%_CI_upper,mobility_domain,mobility_domain_95%_CI_lower,mobility_domain_95%_CI_upper,self_care_domain,self_care_domain_95%_CI_lower,self_care_domain_95%_CI_upper,getting_along_domain,getting_along_domain_95%_CI_lower,getting_along_domain_95%_CI_upper,daily_activity_domain,daily_activity_domain_95%_CI_lower,daily_activity_domain_95%_CI_upper,participation_domain,participation_domain_95%_CI_lower,participation_domain_95%_CI_upper,weighted_n
11,Aceh,2.5,1.9,3.3,4.9,4.2,5.8,1.4,0.8,2.2,1.8,1.2,2.6,2.8,2.2,3.6,2.8,2.1,3.6,9616
12,Sumatera Utara,1.5,1.2,1.8,3.8,3.3,4.4,0.5,0.4,0.6,0.6,0.5,0.9,1.6,1.3,1.9,1.7,1.4,2.1,26830
13,Sumatera Barat,1.3,1.0,1.7,3.2,2.8,3.7,0.3,0.2,0.4,0.5,0.4,0.7,1.4,1.2,1.7,1.7,1.4,2.1,10096
14,Riau,1.4,1.1,1.8,2.6,2.3,3.0,0.4,0.3,0.6,0.5,0.4,0.8,1.2,1.0,1.5,1.4,1.1,1.7,11885
15,Jambi,0.6,0.5,0.8,2.0,1.7,2.4,0.4,0.3,0.5,0.3,0.2,0.5,0.9,0.7,1.1,0.8,0.6,1.0,6416
16,Sumatera Selatan,1.3,1.0,1.5,3.1,2.7,3.6,0.4,0.3,0.6,0.6,0.5,0.8,1.4,1.2,1.7,1.4,1.2,1.7,15470
17,Bengkulu,0.9,0.7,1.2,1.7,1.4,2.2,0.2,0.1,0.3,0.4,0.2,0.6,0.9,0.7,1.2,1.1,0.8,1.4,3782
18,Lampung,0.8,0.6,1.0,1.9,1.6,2.3,0.3,0.2,0.4,0.3,0.2,0.5,1.0,0.8,1.2,1.0,0.7,1.3,16456
19,Kep. Bangka Belitung,0.8,0.6,1.0,2.3,1.8,2.8,0.2,0.1,0.4,0.3,0.2,0.5,0.8,0.6,1.0,0.8,0.6,1.1,2780
21,Kepulauan Riau,0.8,0.5,1.2,2.6,1.9,3.7,0.3,0.2,0.7,0.5,0.3,0.8,1.7,1.2,2.5,1.3,0.9,1.8,3998
31,DKI Jakarta,1.5,1.1,2.0,3.1,2.5,3.7,0.2,0.1,0.3,0.9,0.6,1.2,1.1,0.8,1.5,2.5,2.0,3.2,19996
32,Jawa Barat,3.3,2.9,3.7,4.2,3.8,4.6,0.4,0.3,0.5,1.7,1.5,2.0,2.0,1.8,2.3,3.7,3.3,4.1,90972
33,Jawa Tengah,2.2,1.9,2.5,3.5,3.2,3.8,0.3,0.3,0.4,0.9,0.8,1.1,1.5,1.3,1.8,2.3,2.1,2.6,66959
34,DI Yogyakarta,2.3,1.8,3.0,2.5,2.0,3.2,0.3,0.2,0.6,1.7,1.3,2.2,1.2,0.9,1.7,3.8,3.2,4.6,6555
35,Jawa Timur,0.9,0.8,1.1,2.1,1.9,2.3,0.3,0.3,0.4,0.5,0.4,0.6,0.9,0.8,1.0,1.2,1.1,1.4,75205
36,Banten,2.4,1.7,3.4,4.6,3.5,5.9,0.5,0.3,0.7,1.4,1.0,2.1,2.3,1.7,3.2,2.8,2.1,3.8,22560
51,Bali,0.5,0.4,0.8,1.0,0.7,1.2,0.2,0.2,0.4,0.2,0.1,0.3,0.6,0.4,0.8,0.6,0.5,0.9,8001
52,Nusa Tenggara Barat,0.9,0.6,1.2,2.3,1.9,2.9,0.3,0.2,0.5,0.2,0.1,0.4,0.8,0.6,1.2,1.1,0.8,1.4,9737
53,Nusa Tenggara Timur,2.0,1.7,2.4,4.3,3.7,4.9,0.4,0.3,0.5,0.5,0.4,0.6,2.1,1.8,2.5,2.3,2.0,2.7,9339
61,Kalimantan Barat,0.9,0.7,1.2,3.4,2.7,4.2,0.4,0.3,0.5,0.4,0.3,0.6,1.2,1.0,1.4,1.1,0.9,1.4,10140
62,Kalimantan Tengah,1.3,1.0,1.8,2.6,2.2,3.2,0.6,0.4,0.9,0.6,0.4,0.9,1.4,1.0,1.8,1.4,1.1,1.9,5053
63,Kalimantan Selatan,1.4,1.1,1.7,3.6,3.0,4.2,0.3,0.2,0.5,0.5,0.4,0.7,1.2,1.0,1.4,1.5,1.3,1.8,7578
64,Kalimantan Timur,2.5,2.0,3.1,4.5,3.9,5.3,0.6,0.4,0.8,1.9,1.5,2.5,2.5,2.0,3.3,4.2,3.4,5.1,7289
65,Kalimantan Utara,1.0,0.6,1.8,2.4,1.7,3.2,0.5,0.2,1.0,0.7,0.4,1.3,1.8,0.9,3.7,1.8,1.2,2.6,1347
71,Sulawesi Utara,2.0,1.5,2.5,5.6,4.9,6.4,0.6,0.4,0.8,0.9,0.6,1.2,2.7,2.2,3.2,2.2,1.7,2.7,4761
72,Sulawesi Tengah,1.7,1.4,2.0,4.4,3.8,5.2,0.5,0.4,0.7,0.8,0.6,1.0,2.0,1.7,2.5,1.8,1.5,2.2,5525
73,Sulawesi Selatan,2.6,2.2,3.1,5.3,4.7,5.9,0.4,0.3,0.5,1.4,1.1,1.7,2.1,1.9,2.5,3.3,2.9,3.8,16687
74,Sulawesi Tenggara,2.1,1.7,2.5,4.2,3.5,5.0,0.5,0.4,0.7,1.3,1.0,1.7,2.5,2.1,3.0,2.5,2.1,3.0,4770
75,Gorontalo,0.8,0.5,1.1,2.8,2.3,3.5,0.2,0.1,0.4,0.3,0.2,0.5,1.2,0.9,1.6,1.5,1.1,1.9,2230
76,Sulawesi Barat,2.2,1.6,2.9,6.5,4.9,8.7,0.9,0.6,1.3,1.6,1.2,2.3,2.0,1.6,2.6,2.3,1.8,2.9,2587
82,Maluku,0.8,0.6,1.1,2.9,2.3,3.6,0.4,0.3,0.6,0.4,0.2,0.7,1.2,0.9,1.6,1.6,1.2,2.2,3425
81,Maluku Utara,2.3,1.6,3.3,3.6,2.8,4.7,1.7,1.1,2.8,1.7,1.1,2.8,2.5,1.7,3.5,2.6,1.8,3.7,2384
92,Papua Barat,3.7,1.9,7.3,6.9,5.2,9.1,0.8,0.3,2.1,1.0,0.4,2.2,2.6,1.7,4.1,3.0,1.9,4.7,1039
96,Papua Barat Daya,2.0,1.4,2.9,4.1,3.1,5.3,0.4,0.2,0.7,0.7,0.4,1.4,1.9,1.3,2.7,2.8,1.8,4.3,1142
