province_code,province,no_dificulty,no_dificulty_95%_CI_lower,no_dificulty_95%_CI_upper,mild_dificulty,mild_dificulty_95%_CI_lower,mild_dificulty_95%_CI_upper,moderate_dificulty,moderate_dificulty_95%_CI_lower,moderate_dificulty_95%_CI_upper,severe_dificulty,severe_dificulty_95%_CI_lower,severe_dificulty_95%_CI_upper,weighted_n
11,Aceh,85.4,84.1,86.7,7.6,6.9,8.4,6.5,5.6,7.6,0.4,0.3,0.6,9616
12,Sumatera Utara,84.5,82.9,86.0,9.1,7.9,10.4,6.1,5.5,6.7,0.4,0.3,0.5,26830
13,Sumatera Barat,88.2,86.9,89.4,7.7,6.8,8.7,3.8,3.3,4.4,0.3,0.2,0.4,10096
14,Riau,87.2,85.7,88.7,7.0,6.0,8.0,5.5,4.5,6.8,0.3,0.2,0.4,11885
15,Jambi,88.5,86.9,89.9,7.5,6.4,8.7,3.9,3.2,4.7,0.2,0.1,0.3,6416
16,Sumatera Selatan,87.1,85.7,88.3,7.3,6.5,8.1,5.4,4.6,6.4,0.3,0.2,0.4,15470
17,Bengkulu,89.3,87.8,90.6,6.1,5.1,7.3,4.5,3.7,5.5,0.1,0.1,0.2,3782
18,Lampung,91.0,89.8,92.0,4.8,4.1,5.6,4.0,3.4,4.8,0.2,0.1,0.3,16456
19,Kep. Bangka Belitung,91.2,89.6,92.5,4.8,4.0,5.8,3.8,3.0,4.9,0.2,0.1,0.3,2780
21,Kepulauan Riau,82.9,78.1,86.8,5.8,4.5,7.4,11.1,7.4,16.5,0.2,0.1,0.6,3998
31,DKI Jakarta,88.1,86.1,89.8,8.0,6.8,9.3,3.7,2.7,5.0,0.2,0.1,0.4,19996
32,Jawa Barat,85.5,84.5,86.4,11.4,10.7,12.2,2.9,2.6,3.2,0.2,0.2,0.3,90972
33,Jawa Tengah,87.4,86.6,88.3,8.4,7.9,9.1,3.9,3.4,4.4,0.2,0.2,0.3,66959
34,DI Yogyakarta,89.6,88.1,90.9,8.9,7.7,10.3,1.2,0.9,1.6,0.3,0.1,0.5,6555
35,Jawa Timur,91.9,91.2,92.5,5.2,4.8,5.7,2.7,2.3,3.1,0.2,0.2,0.3,75205
36,Banten,86.8,84.6,88.6,7.4,6.4,8.5,5.5,4.4,7.0,0.3,0.2,0.6,22560
51,Bali,95.8,95.0,96.5,2.5,2.1,3.1,1.5,1.1,1.9,0.2,0.1,0.3,8001
52,Nusa Tenggara Barat,91.3,89.6,92.7,4.2,3.5,5.1,4.3,3.1,5.8,0.2,0.1,0.4,9737
53,Nusa Tenggara Timur,86.8,85.6,87.8,8.1,7.4,9.0,4.9,4.2,5.6,0.2,0.2,0.3,9339
61,Kalimantan Barat,88.3,86.9,89.7,6.9,6.0,8.0,4.5,3.7,5.4,0.3,0.2,0.4,10140
62,Kalimantan Tengah,84.9,83.1,86.6,6.9,5.9,8.0,7.9,6.7,9.4,0.3,0.2,0.4,5053
63,Kalimantan Selatan,84.9,83.3,86.5,9.0,7.9,10.3,5.8,5.0,6.8,0.2,0.2,0.3,7578
64,Kalimantan Timur,81.8,79.5,84.0,12.5,10.6,14.6,5.4,4.5,6.4,0.3,0.2,0.5,7289
65,Kalimantan Utara,88.1,85.2,90.5,6.2,4.8,8.0,5.5,3.9,7.8,0.2,0.1,0.6,1347
71,Sulawesi Utara,84.2,82.7,85.6,8.5,7.6,9.5,6.9,6.0,7.9,0.3,0.2,0.5,4761
72,Sulawesi Tengah,82.7,81.0,84.3,10.9,9.7,12.1,6.0,5.2,7.1,0.4,0.3,0.5,5525
73,Sulawesi Selatan,82.7,81.5,83.9,9.9,9.0,10.9,6.9,6.2,7.6,0.5,0.4,0.6,16687
74,Sulawesi Tenggara,86.7,85.4,87.9,7.6,6.7,8.5,5.4,4.7,6.1,0.3,0.2,0.5,4770
75,Gorontalo,89.6,88.1,90.9,6.0,5.2,7.1,4.1,3.3,5.0,0.3,0.2,0.6,2230
76,Sulawesi Barat,74.8,71.5,77.9,10.4,8.5,12.7,14.1,11.6,17.1,0.7,0.4,1.0,2587
82,Maluku,85.7,83.9,87.4,8.7,7.4,10.2,5.3,4.4,6.4,0.2,0.1,0.4,3425
81,Maluku Utara,82.4,79.4,85.1,6.8,5.7,8.2,10.5,8.1,13.5,0.2,0.1,0.4,2384
92,Papua Barat,78.2,73.6,82.2,12.8,9.7,16.7,8.7,6.6,11.3,0.3,0.1,0.9,1039
96,Papua Barat Daya,86.0,83.2,88.3,9.3,7.4,11.6,4.5,3.6,5.6,0.3,0.1,0.7,1142
91,Papua,85.9,83.1,88.3,8.6,6.8,10.9,5.3,3.8,7.3,0.2,0.1,0.4,1715
93,Papua Selatan,85.5,81.8,88.5,7.0,5.3,9.3,7.3,5.5,9.7,0.2,0.1,0.6,811
94,Papua Tengah,72.8,65.6,79.0,12.0,6.9,19.9,14.7,9.1,22.9,0.6,0.1,3.4,2885
95,Papua Pegunungan,82.0,77.6,85.6,9.3,7.2,11.9,8.4,6.1,11.5,0.3,0.2,0.8,3016
0,INDONESIA,87.3,87.0,87.6,8.1,7.9,8.3,4.3,4.2,4.5,0.3,0.2,0.3,501037
