province_code,province,community_health_center,hospital,private_health_center,clinic,drug_store,traditional_medicine,dont_use_health_facilities,weighted_n
11,Aceh,46.1,11.9,16.1,3.9,0.6,0.8,20.6,539
12,Sumatera Utara,20.1,11.1,10.1,9.6,0.5,1.2,47.4,1224
13,Sumatera Barat,30.3,13.6,12.9,5.4,2.3,1.6,33.8,430
14,Riau,30.8,14.6,10.8,7.7,0.5,0.9,34.7,409
15,Jambi,31.9,12.5,13.6,3.7,0.3,0.8,37.2,152
16,Sumatera Selatan,32.7,11.3,13.5,5.3,0.2,1.0,36.1,579
17,Bengkulu,40.1,11.0,16.4,5.4,1.1,1.5,24.5,89
18,Lampung,31.1,14.9,17.5,8.1,0.4,1.9,26.2,413
19,Kep. Bangka Belitung,24.6,11.9,13.1,2.2,0.6,0.5,47.1,77
21,Kepulauan Riau,33.9,12.0,4.6,6.2,1.8,0.1,41.5,142
31,DKI Jakarta,19.6,13.9,1.9,4.9,0.3,1.6,57.9,1031
32,Jawa Barat,16.9,8.8,7.0,6.2,0.6,0.8,59.6,7141
33,Jawa Tengah,17.5,11.1,7.2,3.1,1.6,0.9,58.6,3788
34,DI Yogyakarta,15.5,11.8,3.1,2.3,1.4,0.3,65.6,440
35,Jawa Timur,20.0,13.0,14.3,3.3,1.5,1.3,46.7,2176
36,Banten,25.6,11.2,6.9,13.9,0.7,0.7,40.9,1368
51,Bali,33.8,23.1,5.2,3.8,0.0,2.9,31.2,99
52,Nusa Tenggara Barat,37.8,10.7,8.1,2.3,0.7,2.2,38.1,288
53,Nusa Tenggara Timur,35.2,7.3,2.7,2.8,0.7,0.7,50.5,546
61,Kalimantan Barat,33.8,5.3,15.2,3.5,1.1,1.0,40.1,409
62,Kalimantan Tengah,36.0,9.7,12.7,4.4,1.7,0.1,35.4,165
63,Kalimantan Selatan,24.9,9.3,8.2,1.9,0.8,1.9,52.9,319
64,Kalimantan Timur,20.9,8.9,3.7,6.4,0.3,1.1,58.8,609
65,Kalimantan Utara,34.6,11.0,6.8,1.1,0.6,0.5,45.4,54
71,Sulawesi Utara,42.2,8.4,7.8,4.3,0.7,0.3,36.5,316
72,Sulawesi Tengah,33.5,7.9,3.7,3.0,1.6,1.2,49.1,303
73,Sulawesi Selatan,30.4,7.1,3.4,4.7,0.5,0.9,52.9,1278
74,Sulawesi Tenggara,43.7,8.4,2.8,2.4,0.2,0.8,41.7,278
75,Gorontalo,36.2,6.4,14.2,5.0,0.4,4.1,33.7,76
76,Sulawesi Barat,54.7,2.9,5.1,3.3,0.3,1.9,31.8,190
82,Maluku,45.6,8.2,5.9,1.9,0.6,1.5,36.3,121
81,Maluku Utara,58.7,9.3,7.1,0.9,0.1,1.2,22.8,104
92,Papua Barat,65.0,3.9,1.8,1.0,2.9,1.6,23.9,105
96,Papua Barat Daya,52.5,3.6,2.2,1.8,12.5,0.0,27.4,77
91,Papua,53.7,12.2,4.6,2.0,0.2,0.3,26.8,110
93,Papua Selatan,50.2,7.7,5.0,3.5,0.0,0.0,33.7,17
94,Papua Tengah,20.9,4.2,1.5,1.9,5.8,0.0,65.6,244
95,Papua Pegunungan,53.3,4.2,6.0,0.0,0.0,0.7,35.9,159
0,INDONESIA,24.0,10.2,7.9,5.3,0.9,1.0,50.7,25865
