province_code,province,independent,independent_95%_CI_lower,independent_95%_CI_upper,mild_dependency,mild_dependency_95%_CI_lower,mild_dependency_95%_CI_upper,moderate_dependency,moderate_dependency_95%_CI_lower,moderate_dependency_95%_CI_upper,severe_dependency,severe_dependency_95%_CI_lower,severe_dependency_95%_CI_upper,total_dependency,total_dependency_95%_CI_lower,total_dependency_95%_CI_upper,weighted_n
11,Aceh,91.5,90.2,92.7,3.7,3.0,4.7,2.0,1.5,2.8,1.2,0.8,1.7,1.5,1.1,2.1,1538
12,Sumatera Utara,94.1,93.0,95.0,2.6,2.0,3.4,1.5,1.1,2.1,1.0,0.6,1.6,0.7,0.5,1.0,4605
13,Sumatera Barat,94.7,93.6,95.6,2.2,1.6,3.0,1.1,0.7,1.6,0.7,0.4,1.0,1.4,1.0,2.0,2060
14,Riau,92.8,90.9,94.3,2.7,1.9,4.0,1.7,1.0,2.9,1.1,0.6,1.9,1.7,1.0,2.7,1622
15,Jambi,94.6,93.1,95.7,2.7,1.9,3.8,1.3,0.8,2.2,0.8,0.4,1.4,0.7,0.4,1.3,1053
16,Sumatera Selatan,95.1,94.0,96.1,2.1,1.5,2.9,1.3,0.8,1.8,0.6,0.4,1.1,0.9,0.6,1.3,2710
17,Bengkulu,96.0,94.7,97.0,1.3,0.8,2.0,1.0,0.5,1.9,0.8,0.4,1.5,1.0,0.6,1.6,620
18,Lampung,94.4,93.2,95.5,1.9,1.3,2.8,1.5,1.0,2.3,1.0,0.6,1.5,1.1,0.7,1.8,3117
19,Kep. Bangka Belitung,94.7,92.8,96.1,2.0,1.1,3.5,1.2,0.7,2.2,1.0,0.5,1.9,1.1,0.6,2.1,451
21,Kepulauan Riau,98.2,97.3,98.8,0.6,0.3,1.1,0.4,0.2,0.9,0.5,0.2,1.2,0.3,0.1,0.7,488
31,DKI Jakarta,94.1,92.2,95.6,2.7,1.8,4.1,1.2,0.6,2.2,0.6,0.2,1.3,1.4,0.8,2.5,3593
32,Jawa Barat,95.1,94.3,95.8,2.6,2.1,3.2,0.9,0.7,1.3,0.5,0.3,0.8,0.9,0.6,1.2,16537
33,Jawa Tengah,95.8,95.2,96.3,1.5,1.2,1.8,1.0,0.7,1.2,0.8,0.6,1.0,1.0,0.8,1.3,15952
34,DI Yogyakarta,95.7,94.5,96.7,1.4,0.9,2.2,0.8,0.5,1.4,1.0,0.6,1.8,1.0,0.6,1.7,1997
