province_code,province,closest_family,closest_family_95%_CI_lower,closest_family_95%_CI_upper,domestic_helper,domestic_helper_95%_CI_lower,domestic_helper_95%_CI_upper,eldercare_worker,eldercare_worker_95%_CI_lower,eldercare_worker_95%_CI_upper,nurse,nurse_95%_CI_lower,nurse_95%_CI_upper,none,none_95%_CI_lower,none_95%_CI_upper,weighted_n
11,Aceh,84.9,76.3,90.7,8.3,4.4,14.9,2.0,0.6,6.5,0.0,0.0,0.0,4.9,1.9,12.0,40
12,Sumatera Utara,88.7,83.0,92.6,9.1,5.5,14.7,0.2,0.0,1.7,0.0,0.0,0.0,2.0,0.9,4.4,78
13,Sumatera Barat,87.4,77.7,93.3,7.1,3.1,15.3,0.0,0.0,0.0,0.0,0.0,0.0,5.5,2.3,12.6,42
14,Riau,74.2,50.5,89.1,16.7,5.9,39.2,0.8,0.1,5.7,0.0,0.0,0.0,8.2,1.7,32.0,43
15,Jambi,84.6,74.3,91.3,10.3,4.1,23.4,0.0,0.0,0.0,0.0,0.0,0.0,5.1,4.4,5.9,15
16,Sumatera Selatan,75.0,60.0,85.7,14.8,7.8,26.1,2.3,0.5,10.4,3.7,0.5,22.7,4.2,1.3,12.2,41
17,Bengkulu,77.6,57.7,89.8,16.3,6.9,33.8,0.0,0.0,0.0,0.0,0.0,0.0,6.1,1.5,21.2,11
18,Lampung,92.2,83.6,96.5,3.9,1.3,11.0,2.0,0.3,13.3,0.0,0.0,0.0,1.8,0.2,12.3,64
19,Kep. Bangka Belitung,72.3,48.6,87.8,7.3,1.7,26.7,0.0,0.0,0.0,0.0,0.0,0.0,20.5,6.2,49.9,9
21,Kepulauan Riau,83.4,52.9,95.7,16.6,4.3,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
31,DKI Jakarta,81.2,58.2,93.1,13.2,3.9,36.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.7,31.6,71
32,Jawa Barat,86.1,73.7,93.2,8.9,4.2,17.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.2,19.2,224
33,Jawa Tengah,78.1,69.6,84.8,20.3,13.7,28.9,0.7,0.1,3.6,0.2,0.0,1.7,0.6,0.1,4.3,273
34,DI Yogyakarta,91.1,76.7,96.9,8.7,2.9,23.2,0.3,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,40
35,Jawa Timur,80.3,73.9,85.4,15.8,11.3,21.8,1.9,0.6,5.7,0.0,0.0,0.0,2.0,0.9,4.4,321
36,Banten,59.9,27.0,85.8,35.9,11.3,71.1,0.0,0.0,0.0,4.2,0.5,27.1,0.0,0.0,0.0,52
51,Bali,86.7,70.2,94.7,5.6,1.0,25.8,1.2,0.2,8.1,0.0,0.0,0.0,6.5,2.1,18.5,31
52,Nusa Tenggara Barat,82.8,65.5,92.4,9.1,3.6,21.5,7.4,1.6,27.4,0.0,0.0,0.0,0.7,0.1,5.1,29
53,Nusa Tenggara Timur,88.1,81.6,92.6,6.2,3.5,10.7,0.0,0.0,0.0,0.0,0.0,0.0,5.7,2.8,11.3,26
61,Kalimantan Barat,89.8,76.3,96.1,6.6,1.6,23.1,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1.7,7.6,31
62,Kalimantan Tengah,95.6,93.4,97.1,3.5,2.3,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,6.4,17
63,Kalimantan Selatan,70.9,42.5,88.9,11.6,3.3,33.6,13.0,1.8,54.6,0.0,0.0,0.0,4.5,1.6,11.8,32
64,Kalimantan Timur,89.7,87.6,91.5,10.3,8.5,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
65,Kalimantan Utara,72.3,21.0,96.2,0.0,0.0,0.0,27.7,3.8,79.0,0.0,0.0,0.0,0.0,0.0,0.0,3
71,Sulawesi Utara,83.7,73.9,90.3,6.5,2.2,17.6,0.0,0.0,0.0,0.0,0.0,0.0,9.8,4.8,18.8,15
72,Sulawesi Tengah,74.5,60.7,84.6,6.3,1.9,19.4,0.0,0.0,0.0,0.0,0.0,0.0,19.2,11.3,30.8,12
73,Sulawesi Selatan,87.0,79.6,91.9,6.9,4.6,10.2,3.2,0.7,12.9,0.0,0.0,0.0,2.9,1.2,7.1,64
74,Sulawesi Tenggara,88.6,77.4,94.7,4.0,0.9,15.9,3.5,3.1,4.0,0.0,0.0,0.0,3.8,0.9,14.7,15
75,Gorontalo,90.8,51.4,98.9,9.2,1.1,48.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
76,Sulawesi Barat,73.1,62.5,81.6,2.5,1.7,3.5,0.0,0.0,0.0,0.0,0.0,0.0,24.4,16.8,34.2,5
