province_code,province,vision_impairment,vision_impairment_95%_CI_lower,vision_impairment_95%_CI_upper,hearing_loss,hearing_loss_95%_CI_lower,hearing_loss_95%_CI_upper,gait_disorder,gait_disorder_95%_CI_lower,gait_disorder_95%_CI_upper,weighted_n
11,Aceh,0.5,0.4,0.7,0.4,0.3,0.4,0.4,0.3,0.5,16993
12,Sumatera Utara,0.5,0.4,0.6,0.3,0.2,0.4,0.3,0.2,0.4,47607
13,Sumatera Barat,0.5,0.4,0.6,0.4,0.3,0.5,0.5,0.4,0.6,17823
14,Riau,0.3,0.2,0.4,0.1,0.1,0.2,0.3,0.2,0.3,20561
15,Jambi,0.2,0.1,0.3,0.2,0.1,0.3,0.2,0.2,0.4,11417
16,Sumatera Selatan,0.4,0.3,0.5,0.3,0.2,0.3,0.2,0.2,0.3,27097
17,Bengkulu,0.3,0.2,0.4,0.2,0.2,0.4,0.2,0.1,0.3,6465
18,Lampung,0.6,0.4,0.7,0.4,0.3,0.5,0.4,0.3,0.5,28877
19,Kep. Bangka Belitung,0.5,0.4,0.6,0.2,0.1,0.3,0.3,0.2,0.4,4695
21,Kepulauan Riau,0.6,0.3,1.2,0.2,0.1,0.6,0.2,0.1,0.2,6665
31,DKI Jakarta,0.5,0.4,0.7,0.3,0.2,0.4,0.5,0.3,0.7,33063
32,Jawa Barat,0.7,0.6,0.8,0.5,0.5,0.6,0.4,0.4,0.5,154476
33,Jawa Tengah,0.6,0.5,0.7,0.5,0.4,0.6,0.4,0.3,0.4,116315
34,DI Yogyakarta,0.6,0.5,0.8,0.8,0.6,1.0,0.5,0.4,0.7,11603
35,Jawa Timur,0.5,0.4,0.6,0.4,0.4,0.5,0.4,0.4,0.5,128796
36,Banten,0.5,0.4,0.7,0.3,0.2,0.5,0.3,0.2,0.5,38149
51,Bali,0.4,0.3,0.5,0.4,0.3,0.6,0.3,0.2,0.4,13648
52,Nusa Tenggara Barat,0.4,0.3,0.6,0.3,0.2,0.5,0.3,0.2,0.5,17203
53,Nusa Tenggara Timur,0.8,0.7,0.9,0.5,0.4,0.6,0.3,0.3,0.4,17184
61,Kalimantan Barat,0.5,0.4,0.6,0.4,0.3,0.5,0.4,0.3,0.5,17454
62,Kalimantan Tengah,0.4,0.3,0.6,0.2,0.2,0.3,0.3,0.2,0.4,8587
63,Kalimantan Selatan,0.4,0.3,0.5,0.3,0.2,0.4,0.4,0.3,0.5,13061
64,Kalimantan Timur,0.6,0.4,0.8,0.5,0.3,0.7,0.3,0.2,0.5,12163
65,Kalimantan Utara,0.4,0.3,0.7,0.2,0.1,0.4,0.2,0.1,0.5,2259
71,Sulawesi Utara,0.6,0.5,0.8,0.4,0.3,0.5,0.3,0.2,0.4,8292
72,Sulawesi Tengah,0.7,0.6,0.9,0.5,0.4,0.6,0.4,0.3,0.5,9521
73,Sulawesi Selatan,0.9,0.8,1.0,0.6,0.5,0.7,0.6,0.5,0.7,28969
74,Sulawesi Tenggara,0.5,0.4,0.6,0.3,0.3,0.5,0.3,0.3,0.4,8494
75,Gorontalo,0.7,0.5,1.1,0.6,0.4,0.8,0.3,0.2,0.5,3753
76,Sulawesi Barat,0.5,0.3,0.7,0.4,0.3,0.6,0.3,0.2,0.4,4570
82,Maluku,0.4,0.3,0.6,0.3,0.2,0.4,0.3,0.2,0.5,5933
81,Maluku Utara,0.5,0.3,0.7,0.3,0.2,0.4,0.3,0.2,0.5,4140
92,Papua Barat,0.4,0.2,0.8,0.4,0.2,0.9,0.4,0.2,0.9,1762
96,Papua Barat Daya,0.5,0.3,0.9,0.2,0.1,0.3,0.1,0.1,0.2,1904
91,Papua,0.5,0.3,0.8,0.2,0.1,0.4,0.2,0.1,0.3,3230
93,Papua Selatan,0.3,0.2,0.6,0.4,0.1,0.9,0.2,0.1,0.4,1649
94,Papua Tengah,0.9,0.5,1.6,0.7,0.4,1.4,0.8,0.4,1.5,4515
95,Papua Pegunungan,1.1,0.7,1.9,1.1,0.6,1.9,0.8,0.5,1.3,4510
0,INDONESIA,0.6,0.5,0.6,0.4,0.4,0.4,0.4,0.4,0.4,863402
