province_code,province,congenital_abnormalities,congenital_abnormalities_95%_CI_lower,congenital_abnormalities_95%_CI_upper,acident_injuries,acident_injuries_95%_CI_lower,acident_injuries_95%_CI_upper,disease,disease_95%_CI_lower,disease_95%_CI_upper,unknown,unknown_95%_CI_lower,unknown_95%_CI_upper,weighted_n
11,Aceh,15.4,11.2,20.9,28.3,22.2,35.4,55.9,48.8,62.7,0.4,0.1,1.6,154
12,Sumatera Utara,12.0,8.2,17.4,30.5,24.4,37.3,56.6,50.0,63.0,0.8,0.2,3.0,399
13,Sumatera Barat,15.5,11.1,21.2,23.5,18.8,29.0,60.4,53.9,66.5,0.6,0.1,3.1,183
14,Riau,16.6,10.4,25.4,24.7,16.6,35.1,57.6,48.7,66.1,1.1,0.3,4.5,109
15,Jambi,22.4,13.3,35.1,18.3,11.1,28.5,55.2,44.0,65.9,4.1,0.8,19.7,51
16,Sumatera Selatan,15.8,10.5,23.1,23.7,17.3,31.5,60.4,51.2,68.9,0.2,0.0,1.1,171
17,Bengkulu,8.2,4.3,15.3,31.0,21.3,42.8,60.8,48.8,71.5,0.0,0.0,0.0,37
18,Lampung,21.0,15.2,28.4,27.9,21.4,35.5,50.9,42.7,59.1,0.1,0.0,0.9,269
19,Kep. Bangka Belitung,14.1,8.6,22.4,34.3,25.3,44.5,51.6,41.5,61.6,0.0,0.0,0.0,39
21,Kepulauan Riau,11.7,5.4,23.5,51.7,31.5,71.3,35.7,21.0,53.7,0.9,0.1,6.0,53
31,DKI Jakarta,15.4,8.7,25.8,19.1,12.0,29.0,61.7,51.8,70.7,3.7,1.0,12.5,326
32,Jawa Barat,14.8,11.8,18.4,27.6,23.4,32.2,57.3,52.5,62.1,0.3,0.1,0.8,2080
33,Jawa Tengah,19.2,16.4,22.4,25.6,22.2,29.3,54.8,50.5,59.0,0.4,0.2,1.0,1384
34,DI Yogyakarta,18.0,12.1,25.9,23.4,16.6,31.8,58.6,49.6,67.1,0.0,0.0,0.0,180
35,Jawa Timur,17.0,13.6,21.0,21.8,18.3,25.8,61.0,56.0,65.7,0.3,0.1,1.0,1410
36,Banten,9.7,6.2,15.0,26.1,17.5,37.1,61.6,50.5,71.6,2.6,0.6,9.9,361
51,Bali,16.1,10.2,24.4,29.2,21.5,38.4,54.5,45.3,63.4,0.2,0.0,1.6,122
52,Nusa Tenggara Barat,15.0,8.6,24.9,25.3,17.0,36.0,57.5,46.3,68.0,2.1,0.6,6.9,149
53,Nusa Tenggara Timur,19.6,15.5,24.3,30.2,25.6,35.2,50.2,45.3,55.2,0.0,0.0,0.0,217
61,Kalimantan Barat,16.0,10.6,23.5,21.3,15.1,29.2,61.8,52.4,70.3,1.0,0.1,6.6,157
62,Kalimantan Tengah,8.2,4.0,16.3,17.2,10.3,27.4,74.5,62.8,83.5,0.0,0.0,0.0,59
63,Kalimantan Selatan,14.4,8.5,23.2,20.0,13.6,28.3,64.3,55.0,72.6,1.4,0.3,5.7,107
64,Kalimantan Timur,13.2,7.5,22.3,30.4,21.7,40.8,55.9,45.4,65.8,0.5,0.1,3.4,139
65,Kalimantan Utara,13.2,4.4,33.3,36.1,22.4,52.7,50.7,35.1,66.1,0.0,0.0,0.0,15
71,Sulawesi Utara,18.2,12.0,26.6,25.8,19.4,33.4,54.7,45.6,63.5,1.3,0.4,4.3,85
72,Sulawesi Tengah,16.5,11.5,23.1,26.1,19.9,33.4,57.4,49.2,65.2,0.0,0.0,0.0,120
73,Sulawesi Selatan,15.9,12.1,20.5,21.8,17.9,26.3,62.2,57.0,67.1,0.1,0.0,0.9,434
74,Sulawesi Tenggara,17.9,12.1,25.6,19.5,14.3,26.1,62.1,54.0,69.7,0.5,0.1,1.4,73
75,Gorontalo,10.8,6.9,16.5,18.7,12.7,26.6,69.4,60.8,76.8,1.1,0.2,7.9,47
76,Sulawesi Barat,15.8,9.9,24.4,32.3,19.8,48.2,51.8,37.6,65.8,0.0,0.0,0.0,39
82,Maluku,13.1,7.0,23.3,31.0,22.0,41.8,55.5,42.8,67.5,0.3,0.3,0.4,39
81,Maluku Utara,18.9,10.0,32.7,36.1,25.0,48.9,45.0,32.5,58.2,0.0,0.0,0.0,31
92,Papua Barat,46.1,21.0,73.4,14.5,8.1,24.7,39.3,16.9,67.3,0.0,0.0,0.0,11
96,Papua Barat Daya,11.4,6.1,20.6,38.9,20.7,60.9,49.6,29.3,70.0,0.0,0.0,0.0,13
91,Papua,21.7,11.3,37.8,35.7,21.0,53.6,42.4,28.4,57.7,0.2,0.0,1.2,23
93,Papua Selatan,32.9,17.3,53.4,22.6,11.7,39.2,44.5,24.5,66.5,0.0,0.0,0.0,12
94,Papua Tengah,44.5,24.2,66.9,35.0,19.1,55.1,19.0,10.1,32.9,1.5,0.2,9.7,53
95,Papua Pegunungan,68.2,51.9,81.0,11.2,5.1,22.7,20.6,10.8,35.8,0.0,0.0,0.0,67
0,INDONESIA,16.6,15.4,17.9,25.5,24.0,27.0,57.3,55.5,59.0,0.6,0.4,1.0,9218
