province_code,province,stroke,diabetes,cancer,hypertension,cataract,others,weighted_n
11,Aceh,21.3,12.0,0.5,35.8,33.1,32.9,87
12,Sumatera Utara,19.3,10.2,0.1,20.9,17.9,52.2,228
13,Sumatera Barat,23.1,8.6,1.1,31.3,22.2,40.5,111
14,Riau,26.5,12.4,0.0,30.6,30.0,24.5,63
15,Jambi,19.8,16.1,1.4,21.3,16.4,40.5,29
16,Sumatera Selatan,19.9,8.4,0.4,28.2,24.1,36.9,104
17,Bengkulu,22.4,4.7,0.0,39.8,13.2,43.8,23
18,Lampung,25.3,9.8,0.9,26.0,18.5,44.6,138
19,Kep. Bangka Belitung,22.8,20.0,1.1,34.1,13.7,30.6,20
21,Kepulauan Riau,15.0,3.9,1.0,17.2,17.0,60.1,19
31,DKI Jakarta,21.4,18.2,0.0,26.9,33.0,39.9,202
32,Jawa Barat,19.1,7.6,0.6,21.2,16.7,50.9,1201
33,Jawa Tengah,23.8,12.5,1.0,15.6,16.7,50.3,763
34,DI Yogyakarta,15.2,3.1,0.0,10.3,6.5,71.6,106
35,Jawa Timur,21.3,11.2,0.7,19.1,12.8,52.8,865
36,Banten,9.7,12.5,0.4,30.2,28.9,39.3,224
51,Bali,17.0,13.3,0.0,17.3,27.0,45.3,67
52,Nusa Tenggara Barat,20.0,12.8,2.0,14.1,19.7,41.2,86
53,Nusa Tenggara Timur,16.6,6.5,0.0,18.8,20.9,53.3,110
61,Kalimantan Barat,18.8,15.2,0.0,23.1,14.5,48.6,98
62,Kalimantan Tengah,28.3,21.4,0.0,31.7,30.5,28.7,44
63,Kalimantan Selatan,29.5,5.6,0.0,25.3,10.1,46.4,69
64,Kalimantan Timur,13.0,2.3,0.2,21.9,46.5,33.0,78
65,Kalimantan Utara,15.4,4.8,1.1,29.6,19.2,49.3,8
71,Sulawesi Utara,16.5,11.9,0.0,24.9,31.4,38.9,47
72,Sulawesi Tengah,17.9,4.8,2.1,23.6,18.9,43.8,69
73,Sulawesi Selatan,14.8,8.7,0.0,25.3,23.0,47.9,272
74,Sulawesi Tenggara,14.8,10.3,0.8,19.7,19.7,51.3,46
75,Gorontalo,6.7,17.1,1.8,27.3,22.3,50.2,32
76,Sulawesi Barat,14.4,8.6,0.0,24.9,34.9,35.8,21
82,Maluku,15.9,11.6,0.7,9.9,21.0,49.3,22
81,Maluku Utara,15.2,20.5,0.0,28.0,21.2,40.6,14
92,Papua Barat,37.3,2.9,0.0,23.9,26.3,28.3,4
96,Papua Barat Daya,4.2,0.0,0.0,13.1,25.3,58.7,7
91,Papua,26.1,17.8,0.0,29.4,44.3,20.5,10
93,Papua Selatan,18.2,3.8,27.2,1.9,24.6,24.3,5
94,Papua Tengah,11.7,28.9,11.7,28.1,47.4,31.3,10
95,Papua Pegunungan,13.6,0.0,0.0,25.4,8.0,53.0,14
0,INDONESIA,19.8,10.3,0.6,21.6,19.2,48.0,5317
