province_code,province,developmental_delays,autism,asperger_syndrome,add_adhd_gpph,celebral_palsy,dyslexia,conduct_disorder,mental_retardation,down_syndrome,weighted_n
11,Aceh,0.6,0.3,0.2,0.1,0.1,0.2,0.2,0.4,0.5,16993
12,Sumatera Utara,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,47607
13,Sumatera Barat,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.4,17823
14,Riau,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.5,20561
15,Jambi,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.3,11417
16,Sumatera Selatan,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,27097
17,Bengkulu,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.5,6465
18,Lampung,0.4,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.6,28877
19,Kep. Bangka Belitung,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.4,4695
21,Kepulauan Riau,0.2,0.1,0.0,0.0,0.1,0.1,0.1,0.4,0.7,6665
31,DKI Jakarta,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.3,33063
32,Jawa Barat,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.5,154476
33,Jawa Tengah,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.4,116315
34,DI Yogyakarta,0.5,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.4,11603
35,Jawa Timur,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,128796
36,Banten,0.4,0.2,0.1,0.1,0.1,0.1,0.2,0.4,0.7,38149
51,Bali,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.6,13648
52,Nusa Tenggara Barat,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,17203
53,Nusa Tenggara Timur,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.3,17184
61,Kalimantan Barat,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.4,17454
62,Kalimantan Tengah,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.4,8587
63,Kalimantan Selatan,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.4,13061
64,Kalimantan Timur,0.6,0.3,0.1,0.2,0.1,0.1,0.1,0.2,0.4,12163
65,Kalimantan Utara,0.4,0.2,0.1,0.1,0.2,0.2,0.3,0.5,0.5,2259
71,Sulawesi Utara,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,8292
72,Sulawesi Tengah,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,9521
73,Sulawesi Selatan,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.3,28969
74,Sulawesi Tenggara,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,8494
75,Gorontalo,0.3,0.1,0.1,0.1,0.1,0.0,0.1,0.2,0.3,3753
76,Sulawesi Barat,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.2,4570
82,Maluku,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,5933
81,Maluku Utara,0.4,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.4,4140
92,Papua Barat,0.3,0.3,0.1,0.1,0.1,0.1,0.2,0.2,0.2,1762
96,Papua Barat Daya,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,1904
91,Papua,0.5,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.4,3230
93,Papua Selatan,0.4,0.4,0.2,0.1,0.1,0.1,0.2,0.3,0.4,1649
94,Papua Tengah,1.5,0.8,1.2,0.8,1.4,1.2,1.0,0.8,1.2,4515
95,Papua Pegunungan,0.7,0.2,0.1,0.2,0.3,0.2,0.2,0.3,0.4,4510
0,INDONESIA,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.5,863402
