province_code,province,disability,disability_95%_CI_lower,disability_95%_CI_upper,weighted_n
11,Aceh,1.0,0.7,1.3,4109
12,Sumatera Utara,1.1,0.8,1.5,11650
13,Sumatera Barat,1.1,0.8,1.5,4076
14,Riau,0.6,0.4,0.9,5049
15,Jambi,0.5,0.3,0.9,2632
16,Sumatera Selatan,0.8,0.5,1.1,6410
17,Bengkulu,0.5,0.3,0.9,1470
18,Lampung,0.8,0.5,1.3,6506
19,Kep. Bangka Belitung,1.7,1.2,2.4,1036
21,Kepulauan Riau,1.1,0.7,1.8,1571
31,DKI Jakarta,3.0,2.2,4.2,6771
32,Jawa Barat,2.7,2.3,3.2,33565
33,Jawa Tengah,2.0,1.7,2.4,23372
34,DI Yogyakarta,1.7,1.2,2.5,2164
35,Jawa Timur,1.0,0.8,1.3,24570
36,Banten,1.5,1.0,2.2,8897
51,Bali,0.6,0.4,1.0,2636
52,Nusa Tenggara Barat,0.6,0.4,0.9,4145
53,Nusa Tenggara Timur,1.7,1.3,2.2,4445
61,Kalimantan Barat,0.9,0.6,1.3,4018
62,Kalimantan Tengah,0.7,0.4,1.2,1945
63,Kalimantan Selatan,1.5,1.1,2.0,3093
64,Kalimantan Timur,2.2,1.5,3.0,2713
65,Kalimantan Utara,0.6,0.3,1.4,514
71,Sulawesi Utara,1.3,0.9,2.0,1726
72,Sulawesi Tengah,1.2,0.9,1.7,2276
73,Sulawesi Selatan,2.3,1.7,2.9,6411
74,Sulawesi Tenggara,0.9,0.7,1.3,2163
75,Gorontalo,1.0,0.7,1.5,811
76,Sulawesi Barat,0.7,0.4,1.2,1138
82,Maluku,0.9,0.5,1.4,1397
81,Maluku Utara,0.7,0.4,1.1,1027
92,Papua Barat,0.8,0.4,1.8,408
96,Papua Barat Daya,1.1,0.6,2.1,415
91,Papua,1.0,0.6,1.8,893
93,Papua Selatan,1.5,0.7,3.3,508
94,Papua Tengah,1.8,0.8,4.1,931
95,Papua Pegunungan,2.7,1.4,5.1,723
0,INDONESIA,1.6,1.5,1.7,188185
