province_code,province,physical_disabilities,physical_disabilities_95%_CI_lower,physical_disabilities_95%_CI_upper,intelectual_disabilities,intelectual_disabilities_95%_CI_lower,intelectual_disabilities_95%_CI_upper,mental_disabilities,mental_disabilities_95%_CI_lower,mental_disabilities_95%_CI_upper,sensory_disabilities,sensory_disabilities_95%_CI_lower,sensory_disabilities_95%_CI_upper,communication_disabilities,communication_disabilities_95%_CI_lower,communication_disabilities_95%_CI_upper,weighted_n
11,Aceh,0.4,0.3,0.7,0.7,0.5,1.0,0.6,0.4,0.8,0.2,0.1,0.4,0.5,0.3,0.8,4109
12,Sumatera Utara,0.2,0.1,0.3,0.7,0.5,1.0,0.5,0.3,0.8,0.2,0.1,0.4,0.3,0.2,0.5,11650
13,Sumatera Barat,0.4,0.2,0.6,0.8,0.5,1.1,0.6,0.4,0.8,0.1,0.1,0.3,0.5,0.3,0.7,4076
14,Riau,0.1,0.1,0.3,0.4,0.3,0.7,0.2,0.1,0.4,0.1,0.0,0.2,0.2,0.1,0.4,5049
15,Jambi,0.2,0.1,0.4,0.3,0.1,0.6,0.3,0.1,0.5,0.1,0.0,0.6,0.2,0.1,0.5,2632
16,Sumatera Selatan,0.2,0.1,0.5,0.5,0.3,0.7,0.3,0.2,0.6,0.2,0.1,0.3,0.4,0.2,0.6,6410
17,Bengkulu,0.1,0.0,0.3,0.3,0.1,0.5,0.4,0.2,0.7,0.0,0.0,0.0,0.1,0.0,0.3,1470
18,Lampung,0.3,0.2,0.6,0.5,0.3,0.9,0.5,0.3,1.0,0.1,0.0,0.4,0.3,0.2,0.6,6506
19,Kep. Bangka Belitung,0.4,0.2,0.6,1.5,1.1,2.2,1.0,0.6,1.5,0.1,0.1,0.4,0.3,0.2,0.6,1036
21,Kepulauan Riau,0.2,0.1,0.5,0.6,0.3,1.1,0.5,0.3,1.0,0.1,0.0,0.3,0.6,0.3,1.0,1571
31,DKI Jakarta,0.6,0.3,1.2,1.9,1.2,2.9,1.7,1.0,2.6,0.2,0.1,0.5,0.8,0.4,1.4,6771
32,Jawa Barat,0.5,0.3,0.7,1.8,1.4,2.2,1.4,1.1,1.8,0.2,0.1,0.3,0.6,0.4,0.8,33565
33,Jawa Tengah,0.4,0.3,0.6,1.2,0.9,1.4,1.0,0.8,1.3,0.3,0.2,0.5,0.6,0.5,0.8,23372
34,DI Yogyakarta,0.6,0.3,1.3,1.2,0.8,2.0,1.0,0.6,1.6,0.3,0.1,0.8,0.5,0.3,1.0,2164
35,Jawa Timur,0.4,0.3,0.5,0.5,0.4,0.7,0.4,0.3,0.6,0.1,0.1,0.2,0.3,0.2,0.4,24570
36,Banten,0.4,0.2,0.8,0.8,0.5,1.3,0.8,0.4,1.5,0.2,0.0,0.7,0.6,0.3,1.1,8897
51,Bali,0.2,0.1,0.6,0.3,0.2,0.5,0.2,0.1,0.4,0.1,0.1,0.3,0.2,0.1,0.3,2636
52,Nusa Tenggara Barat,0.1,0.1,0.3,0.3,0.2,0.5,0.3,0.2,0.5,0.1,0.1,0.3,0.1,0.1,0.2,4145
53,Nusa Tenggara Timur,0.4,0.2,0.6,1.1,0.8,1.5,0.9,0.6,1.2,0.3,0.2,0.5,0.6,0.4,0.9,4445
61,Kalimantan Barat,0.5,0.3,0.8,0.5,0.3,0.9,0.5,0.3,0.9,0.2,0.1,0.5,0.4,0.2,0.6,4018
62,Kalimantan Tengah,0.3,0.1,0.6,0.6,0.3,1.1,0.4,0.2,0.7,0.1,0.0,0.2,0.3,0.1,0.7,1945
63,Kalimantan Selatan,0.4,0.2,0.7,0.9,0.6,1.4,0.8,0.5,1.2,0.1,0.0,0.3,0.5,0.3,0.8,3093
64,Kalimantan Timur,0.3,0.1,0.7,1.6,1.0,2.4,1.0,0.6,1.5,0.1,0.0,0.3,0.6,0.3,1.2,2713
65,Kalimantan Utara,0.3,0.1,0.8,0.2,0.1,0.7,0.3,0.1,0.7,0.3,0.1,1.0,0.2,0.1,0.7,514
71,Sulawesi Utara,0.3,0.2,0.6,0.9,0.5,1.5,0.7,0.4,1.2,0.2,0.1,0.6,0.5,0.3,1.1,1726
72,Sulawesi Tengah,0.3,0.2,0.6,0.9,0.6,1.3,0.7,0.4,1.1,0.1,0.0,0.2,0.4,0.2,0.7,2276
73,Sulawesi Selatan,0.7,0.5,1.0,1.5,1.1,2.0,1.1,0.7,1.6,0.2,0.1,0.3,0.7,0.5,1.0,6411
74,Sulawesi Tenggara,0.3,0.2,0.5,0.7,0.4,1.0,0.4,0.3,0.7,0.2,0.1,0.4,0.3,0.2,0.6,2163
75,Gorontalo,0.5,0.3,0.9,0.6,0.3,1.0,0.5,0.3,0.9,0.1,0.0,0.2,0.3,0.1,0.5,811
76,Sulawesi Barat,0.4,0.2,0.9,0.3,0.1,0.6,0.4,0.2,0.8,0.1,0.0,0.6,0.2,0.1,0.5,1138
82,Maluku,0.5,0.2,0.9,0.5,0.3,0.9,0.2,0.1,0.4,0.2,0.1,0.6,0.3,0.1,0.6,1397
81,Maluku Utara,0.2,0.1,0.4,0.3,0.2,0.7,0.4,0.2,0.8,0.1,0.0,0.4,0.2,0.1,0.6,1027
92,Papua Barat,0.4,0.1,1.7,0.6,0.2,1.6,0.6,0.2,1.7,0.0,0.0,0.3,0.4,0.1,1.6,408
96,Papua Barat Daya,0.2,0.0,0.6,0.2,0.1,0.6,0.9,0.4,1.9,0.1,0.0,0.5,0.3,0.1,0.7,415
91,Papua,0.7,0.3,1.5,0.5,0.3,1.1,0.5,0.2,1.2,0.1,0.0,0.9,0.4,0.2,0.9,893
