province_code,province,toothache,toothache_95%_CI_lower,toothache_95%_CI_upper,missing_pulled_came_out_teeth,missing_pulled_came_out_teeth_95%_CI_lower,missing_pulled_came_out_teeth_95%_CI_upper,filed_teeth_due_cavities,filed_teeth_due_cavities_95%_CI_lower,filed_teeth_due_cavities_95%_CI_upper,loose_teeth,loose_teeth_95%_CI_lower,loose_teeth_95%_CI_upper,sensitive_teeth,sensitive_teeth_95%_CI_lower,sensitive_teeth_95%_CI_upper,weighted_n
11,Aceh,44.7,43.2,46.1,25.7,24.6,26.9,6.0,5.4,6.6,7.5,6.9,8.1,8.1,7.5,8.8,16255
12,Sumatera Utara,39.9,38.4,41.4,19.5,18.5,20.5,3.4,3.0,3.7,7.3,6.8,7.9,11.0,10.3,11.8,45584
13,Sumatera Barat,48.2,46.8,49.5,22.7,21.7,23.7,5.5,5.1,6.1,6.7,6.2,7.2,10.2,9.6,11.0,17114
14,Riau,40.1,38.4,41.7,19.0,17.9,20.2,4.1,3.7,4.6,5.4,4.9,5.9,6.8,6.2,7.5,19685
15,Jambi,36.9,35.2,38.7,20.2,18.8,21.7,3.7,3.3,4.2,5.5,4.9,6.2,9.6,8.6,10.6,10955
16,Sumatera Selatan,45.6,44.0,47.2,20.8,19.7,21.9,4.0,3.5,4.5,4.4,4.1,4.8,8.3,7.6,9.0,26003
17,Bengkulu,40.6,38.8,42.4,19.0,17.7,20.4,3.3,2.9,3.8,5.9,5.2,6.6,6.5,5.7,7.2,6210
18,Lampung,47.5,45.8,49.3,22.9,21.7,24.1,3.3,3.0,3.6,4.6,4.2,5.1,7.5,6.8,8.2,27688
19,Kep. Bangka Belitung,38.4,36.2,40.6,16.3,15.0,17.7,3.0,2.6,3.4,3.1,2.6,3.5,6.2,5.4,7.1,4505
21,Kepulauan Riau,40.4,37.7,43.2,14.2,12.8,15.6,3.0,2.5,3.5,3.9,3.2,4.7,7.4,6.3,8.7,6369
31,DKI Jakarta,34.2,32.5,36.0,16.7,15.5,17.9,7.8,7.0,8.6,5.2,4.6,5.9,8.9,7.9,10.0,31861
32,Jawa Barat,48.0,47.0,48.9,23.1,22.4,23.8,5.8,5.5,6.1,8.4,8.0,8.8,14.9,14.2,15.5,148411
33,Jawa Tengah,42.8,41.9,43.6,18.6,18.0,19.2,3.5,3.3,3.7,7.1,6.7,7.4,12.3,11.7,12.9,112057
34,DI Yogyakarta,41.7,39.8,43.7,20.6,19.4,22.0,5.2,4.6,5.9,8.4,7.5,9.2,11.9,10.8,13.0,11225
35,Jawa Timur,38.6,37.7,39.5,19.0,18.4,19.6,4.4,4.2,4.7,4.9,4.7,5.2,8.7,8.2,9.2,124362
36,Banten,42.3,40.7,43.9,19.6,18.2,21.0,4.8,4.2,5.3,6.2,5.6,6.9,12.8,11.6,14.0,36709
51,Bali,31.6,29.8,33.5,20.0,18.9,21.0,5.7,5.1,6.4,4.8,4.3,5.3,6.5,5.8,7.3,13137
52,Nusa Tenggara Barat,40.9,38.9,42.9,22.7,21.3,24.3,3.9,3.5,4.4,7.5,6.7,8.3,10.0,9.1,10.9,16431
53,Nusa Tenggara Timur,44.7,43.6,45.7,22.2,21.4,23.1,3.0,2.8,3.3,10.5,10.0,11.0,10.6,9.9,11.3,16322
61,Kalimantan Barat,42.6,40.7,44.5,19.7,18.6,20.8,4.0,3.6,4.5,6.9,6.3,7.7,11.6,10.6,12.8,16727
62,Kalimantan Tengah,41.8,39.3,44.3,20.3,18.8,21.8,4.2,3.7,4.8,4.7,4.2,5.4,9.0,8.0,10.1,8225
63,Kalimantan Selatan,43.9,42.1,45.7,21.1,19.9,22.4,7.8,7.1,8.5,4.9,4.4,5.4,10.2,9.3,11.1,12523
64,Kalimantan Timur,44.8,42.9,46.7,20.0,18.6,21.5,7.5,6.8,8.3,6.9,6.1,7.7,12.9,11.8,14.1,11651
65,Kalimantan Utara,46.8,43.4,50.2,19.9,17.7,22.2,9.9,8.2,11.8,5.2,4.3,6.3,7.5,6.4,8.9,2162
71,Sulawesi Utara,52.0,50.2,53.8,25.5,24.1,26.9,4.8,4.3,5.4,10.2,9.4,11.0,15.8,14.7,17.1,7994
72,Sulawesi Tengah,54.5,52.7,56.2,25.3,23.9,26.7,5.1,4.6,5.7,9.1,8.3,9.9,13.6,12.5,14.9,9127
73,Sulawesi Selatan,56.4,55.3,57.5,27.8,26.9,28.7,5.8,5.3,6.2,6.9,6.4,7.3,12.0,11.4,12.7,27815
74,Sulawesi Tenggara,48.0,46.3,49.8,26.0,24.7,27.4,6.2,5.6,6.9,6.9,6.3,7.4,10.6,9.8,11.4,8108
75,Gorontalo,51.7,49.1,54.4,21.8,20.3,23.3,2.8,2.3,3.2,6.7,6.0,7.6,9.4,8.1,11.0,3598
76,Sulawesi Barat,58.5,56.4,60.6,28.0,26.0,30.1,5.6,4.8,6.5,8.1,7.2,9.0,14.9,13.3,16.6,4361
82,Maluku,51.0,49.0,52.9,26.5,24.9,28.2,3.7,3.2,4.3,9.6,8.9,10.4,16.2,14.8,17.6,5673
81,Maluku Utara,45.3,43.2,47.3,18.0,16.8,19.2,3.6,3.1,4.1,10.2,9.3,11.2,11.6,10.6,12.8,3955
