province_code,province,affected,affected_95%_CI_lower,affected_95%_CI_upper,unaffected,unaffected_95%_CI_lower,unaffected_95%_CI_upper,weighted_n
11,Aceh,11.1,10.5,11.8,88.9,88.2,89.5,13488
12,Sumatera Utara,7.2,6.7,7.7,92.8,92.3,93.3,40713
13,Sumatera Barat,8.5,7.9,9.1,91.5,90.9,92.1,14655
14,Riau,8.4,7.7,9.2,91.6,90.8,92.3,17198
15,Jambi,7.4,6.6,8.3,92.6,91.7,93.4,9490
16,Sumatera Selatan,8.3,7.6,9.1,91.7,90.9,92.4,22677
17,Bengkulu,8.9,8.0,9.9,91.1,90.1,9.02,5332
18,Lampung,6.9,6.4,7.6,93.1,92.4,93.6,24513
19,Kep. Bangka Belitung,5.8,5.2,6.5,94.2,93.5,94.8,4089
21,Kepulauan Riau,6.9,6.0,7.9,93.1,92.1,94.0,5318
31,DKI Jakarta,8.4,7.5,9.3,91.6,90.7,92.5,24628
32,Jawa Barat,10.5,9.9,11.0,89.5,89.0,90.1,125798
33,Jawa Tengah,7.7,7.3,8.1,92.3,91.9,92.7,94951
34,DI Yogyakarta,7.1,6.3,7.9,92.9,92.1,93.7,8628
35,Jawa Timur,7.9,7.4,8.3,92.1,91.7,92.6,100268
36,Banten,8.4,7.5,9.4,91.6,90.6,92.5,32429
51,Bali,5.9,5.1,6.7,94.1,93.3,94.9,10857
52,Nusa Tenggara Barat,9.4,8.4,10.5,90.6,89.5,91.6,13244
53,Nusa Tenggara Timur,11.1,10.5,11.8,88.9,88.2,89.5,13302
61,Kalimantan Barat,6.8,6.1,7.5,93.2,92.5,93.9,14596
62,Kalimantan Tengah,7.7,6.9,8.6,92.3,91.4,93.1,7315
63,Kalimantan Selatan,7.2,6.6,7.9,92.8,92.1,93.4,11113
64,Kalimantan Timur,10.2,9.3,11.3,89.8,88.7,90.7,10181
65,Kalimantan Utara,8.3,7.2,9.6,91.7,90.4,92.8,1880
71,Sulawesi Utara,11.1,10.2,12.2,88.9,87.8,89.8,7013
72,Sulawesi Tengah,13.5,12.4,14.6,86.5,85.4,87.6,8006
73,Sulawesi Selatan,9.5,9.0,10.0,90.5,90.0,91.0,24197
74,Sulawesi Tenggara,10.7,10.0,11.5,89.3,88.5,90.0,6868
75,Gorontalo,11.4,10.2,12.7,88.6,87.3,89.8,3164
76,Sulawesi Barat,12.4,11.2,13.6,87.6,86.4,88.8,3834
82,Maluku,13.5,12.3,14.9,86.5,85.1,87.7,4808
81,Maluku Utara,14.6,13.2,16.1,85.4,83.9,86.8,3051
91,Papua,10.3,8.6,12.4,89.7,87.6,91.4,1328
93,Papua Selatan,12.6,10.9,14.5,87.4,85.5,89.1,1531
94,Papua Tengah,13.0,11.5,14.8,87.0,85.2,88.5,2572
95,Papua Pegunungan,16.7,13.9,19.8,83.3,80.2,86.1,1275
92,Papua Barat,12.3,9.2,16.3,87.7,83.7,90.8,3512
96,Papua Barat Daya,16.9,13.3,21.1,83.1,78.9,86.7,3604
0,INDONESIA,8.8,8.7,9.0,91.2,91.0,91.3,701428
