province_code,province,not_brushing_teeth_daily,not_brushing_teeth_daily_95%_CI_lower,not_brushing_teeth_daily_95%_CI_upper,brushing_teeth_daily_1x,brushing_teeth_daily_1x_95%_CI_lower,brushing_teeth_daily_1x_95%_CI_upper,brushing_teeth_daily_2x,brushing_teeth_daily_2x_95%_CI_lower,brushing_teeth_daily_2x_95%_CI_upper,brush_teeth_in_correct_time,brush_teeth_in_correct_time_95%_CI_lower,brush_teeth_in_correct_time_95%_CI_upper,weighted_n
11,Aceh,6.15,5.7,6.7,16.0,15.0,17.0,68.7,67.5,69.9,5.8,5.2,6.4,14882
12,Sumatera Utara,5.51,5.1,5.9,11.9,11.2,12.5,76.7,75.7,77.7,2.9,2.6,3.3,42254
13,Sumatera Barat,3.5,3.2,3.8,13.2,12.4,14.1,78.6,77.6,79.5,1.2,1.0,1.4,16179
14,Riau,4.53,4.1,5.1,8.7,7.9,9.6,78.2,76.9,79.4,3.8,3.1,4.6,18406
15,Jambi,4.01,3.6,4.5,5.8,5.2,6.6,76.9,75.2,78.5,3.4,2.8,4.0,10290
16,Sumatera Selatan,3.85,3.4,4.4,5.9,5.4,6.6,81.6,80.5,82.7,4.0,3.4,4.7,24536
17,Bengkulu,3.94,3.4,4.5,5.4,4.8,6.0,83.5,82.1,84.8,2.7,2.2,3.3,5861
18,Lampung,4.81,4.3,5.4,6.0,5.4,6.7,79.9,78.7,81.1,3.5,3.0,4.1,25847
19,Kep. Bangka Belitung,2.81,2.4,3.2,6.4,5.6,7.2,73.4,71.6,75.0,6.3,5.3,7.4,4299
21,Kepulauan Riau,1.85,1.5,2.3,5.4,4.6,6.4,76.1,73.7,78.4,2.9,2.3,3.6,6114
31,DKI Jakarta,2.33,1.9,2.8,6.4,5.7,7.1,70.2,68.5,71.9,6.8,5.9,7.8,30474
32,Jawa Barat,2.79,2.6,3.0,7.8,7.4,8.2,67.8,67.0,68.6,5.8,5.5,6.2,141473
33,Jawa Tengah,3.37,3.1,3.6,8.2,7.8,8.6,75.8,75.1,76.5,5.0,4.7,5.3,105565
34,DI Yogyakarta,2.88,2.5,3.4,7.8,7.1,8.6,72.9,71.5,74.3,10.0,8.9,11.2,10557
35,Jawa Timur,3.33,3.1,3.6,9.0,8.5,9.4,71.4,70.6,72.1,4.1,3.8,4.5,117041
36,Banten,3.3,2.9,3.8,7.1,6.4,7.8,73.3,71.9,74.7,4.2,3.6,4.8,34760
51,Bali,4.32,3.9,4.8,10.0,9.3,10.9,77.4,75.4,79.3,12.4,10.1,15.0,12244
52,Nusa Tenggara Barat,4.47,3.9,5.1,15.3,14.2,16.4,66.2,64.9,67.6,10.5,9.5,11.6,15324
53,Nusa Tenggara Timur,11.79,11.1,12.5,32.0,30.7,33.3,61.2,60.0,62.5,5.5,4.9,6.0,13992
61,Kalimantan Barat,2.68,2.4,3.0,6.9,6.3,7.6,75.5,74.0,77.0,9.2,8.3,10.2,15926
62,Kalimantan Tengah,4.99,4.3,5.8,7.7,6.8,8.7,79.9,78.4,81.4,5.3,4.4,6.3,7633
63,Kalimantan Selatan,3.93,3.4,4.5,10.3,9.4,11.2,75.3,74.1,76.6,7.7,6.9,8.5,11743
64,Kalimantan Timur,2.78,2.3,3.3,5.2,4.7,5.8,68.4,66.6,70.2,9.9,8.2,12.0,11091
65,Kalimantan Utara,3.72,3.0,4.5,8.6,7.2,10.2,75.2,72.5,77.7,6.7,5.5,8.0,2035
71,Sulawesi Utara,4.25,3.7,4.9,10.6,9.8,11.5,74.8,73.5,76.0,6.8,5.9,7.9,7496
72,Sulawesi Tengah,4.79,4.2,5.4,10.2,9.4,11.0,67.0,65.6,68.3,8.2,7.4,9.1,8471
73,Sulawesi Selatan,4.39,4.1,4.7,15.4,14.7,16.1,69.3,68.4,70.1,22.6,21.6,23.6,25841
74,Sulawesi Tenggara,4.77,4.3,5.3,10.6,9.9,11.3,67.8,66.3,69.2,21.0,19.5,22.5,7546
75,Gorontalo,3.1,2.7,3.6,7.9,7.0,8.8,67.7,65.7,69.7,6.0,5.1,7.0,3390
76,Sulawesi Barat,5.15,4.4,6.0,12.9,11.8,14.1,69.2,67.1,71.2,21.6,19.1,24.3,4017
82,Maluku,3.91,3.5,4.4,9.9,8.9,11.1,71.7,69.8,73.4,4.0,3.4,4.6,5341
81,Maluku Utara,9.72,8.7,10.8,12.1,11.1,13.2,74.2,72.7,75.7,3.1,2.6,3.7,3474
91,Papua,9.51,7.9,11.4,20.3,17.5,23.5,65.1,61.5,68.5,10.4,7.9,13.5,1479
93,Papua Selatan,7.92,6.7,9.3,14.0,12.2,16.0,62.2,59.2,65.2,9.7,7.7,12.1,1636
94,Papua Tengah,12.03,10.7,13.5,22.7,20.6,25.0,66.3,64.0,68.4,6.8,5.7,8.2,2629
95,Papua Pegunungan,37.66,33.3,42.2,20.5,17.7,23.5,70.4,67.2,73.4,6.8,5.2,8.7,938
92,Papua Barat,42.68,35.8,49.9,22.4,18.1,27.2,72.3,67.1,76.9,15.4,12.0,19.5,2192
96,Papua Barat Daya,58.32,53.0,63.5,48.2,41.3,55.2,48.6,41.9,55.4,21.0,17.3,25.2,1688
0,INDONESIA,4.37,4.3,4.5,9.5,9.3,9.6,72.5,72.3,72.8,6.2,6.1,6.3,774665
