province_code,province,owned_toothbrush_individually,owned_toothbrush_individually_95%_CI_lower,owned_toothbrush_individually_95%_CI_upper,owned_toothbrush_collectively,owned_toothbrush_collectively_95%_CI_lower,owned_toothbrush_collectively_95%_CI_upper,always_using_toothpaste,always_using_toothpaste_95%_CI_lower,always_using_toothpaste_95%_CI_upper,occasionally_using_toothpaste,occasionally_using_toothpaste_95%_CI_lower,occasionally_using_toothpaste_95%_CI_upper,weighted_n
11,Aceh,99.2,99.0,99.3,0.8,0.7,1.0,97.6,97.2,97.9,2.4,2.1,2.7,14882
12,Sumatera Utara,94.5,94.0,95.0,5.5,5.0,6.0,98.4,98.2,98.6,1.5,1.3,1.7,42254
13,Sumatera Barat,97.7,97.1,98.1,2.3,1.9,2.9,98.5,98.2,98.7,1.4,1.2,1.7,16179
14,Riau,99.1,98.8,99.3,0.9,0.7,1.2,98.4,98.1,98.7,1.6,1.3,1.9,18406
15,Jambi,99.2,98.9,99.4,0.8,0.6,1.1,99.0,98.8,99.2,1.0,0.8,1.2,10290
16,Sumatera Selatan,98.8,98.5,99.1,1.2,0.9,1.5,98.5,98.2,98.8,1.4,1.1,1.7,24536
17,Bengkulu,97.4,96.6,98.0,2.6,2.0,3.4,98.6,98.3,98.8,1.3,1.1,1.6,5861
18,Lampung,99.0,98.6,99.3,1.0,0.7,1.4,98.6,98.4,98.8,1.3,1.1,1.6,25847
19,Kep. Bangka Belitung,99.6,99.4,99.7,0.4,0.3,0.6,99.3,99.1,99.5,0.7,0.5,0.9,4299
21,Kepulauan Riau,99.6,99.4,99.8,0.4,0.2,0.6,99.1,98.3,99.6,0.8,0.4,1.7,6114
31,DKI Jakarta,99.8,99.6,99.9,0.2,0.1,0.4,99.6,99.4,99.7,0.4,0.3,0.5,30474
32,Jawa Barat,98.0,97.7,98.3,2.0,1.7,2.3,99.1,99.0,99.2,0.8,0.7,0.9,141473
33,Jawa Tengah,99.4,99.3,99.5,0.6,0.5,0.7,99.0,98.8,99.1,0.9,0.8,1.1,105565
34,DI Yogyakarta,99.6,99.4,99.7,0.4,0.3,0.6,99.3,99.1,99.5,0.5,0.3,0.7,10557
35,Jawa Timur,97.6,97.2,97.9,2.4,2.1,2.8,98.7,98.5,98.9,1.2,1.0,1.3,117041
36,Banten,98.8,98.1,99.2,1.2,0.8,1.9,98.9,98.6,99.1,1.0,0.8,1.3,34760
51,Bali,99.6,99.4,99.7,0.4,0.3,0.6,99.1,98.9,99.3,0.9,0.7,1.1,12244
52,Nusa Tenggara Barat,99.4,99.1,99.5,0.6,0.5,0.9,98.8,98.4,99.1,1.2,0.9,1.6,15324
53,Nusa Tenggara Timur,97.4,97.1,97.8,2.6,2.2,2.9,95.7,94.7,96.6,3.8,3.0,4.8,13992
61,Kalimantan Barat,99.6,99.5,99.7,0.4,0.3,0.5,98.7,98.4,98.9,1.3,1.1,1.6,15926
62,Kalimantan Tengah,98.8,98.3,99.1,1.2,0.9,1.7,98.5,98.1,98.8,1.5,1.2,1.8,7633
63,Kalimantan Selatan,99.0,98.6,99.2,1.0,0.8,1.4,98.4,98.0,98.8,1.5,1.2,2.0,11743
64,Kalimantan Timur,99.7,99.5,99.8,0.3,0.2,0.5,99.1,98.9,99.3,0.7,0.5,0.9,11091
65,Kalimantan Utara,99.7,99.4,99.9,0.3,0.1,0.6,99.1,98.7,99.4,0.9,0.6,1.3,2035
71,Sulawesi Utara,99.5,99.3,99.6,0.5,0.4,0.7,98.9,98.6,99.1,1.1,0.9,1.3,7496
72,Sulawesi Tengah,99.6,99.4,99.7,0.4,0.3,0.6,98.7,98.4,99.0,1.2,1.0,1.5,8471
73,Sulawesi Selatan,99.5,99.4,99.6,0.5,0.4,0.6,99.0,98.9,99.2,0.9,0.8,1.0,25841
74,Sulawesi Tenggara,99.6,99.5,99.7,0.4,0.3,0.5,99.0,98.8,99.2,0.9,0.8,1.1,7546
75,Gorontalo,99.7,99.5,99.8,0.3,0.2,0.5,99.4,98.9,99.6,0.6,0.4,1.0,3390
76,Sulawesi Barat,99.5,99.2,99.6,0.5,0.4,0.8,98.9,98.6,99.1,1.1,0.8,1.4,4017
82,Maluku,98.0,97.1,98.6,2.0,1.4,2.9,98.5,98.1,98.8,1.5,1.2,1.9,5341
81,Maluku Utara,99.2,98.8,99.4,0.8,0.6,1.2,98.0,97.6,98.3,1.9,1.5,2.3,3474
91,Papua,98.8,98.2,99.2,1.2,0.8,1.8,95.3,93.7,96.4,4.6,3.4,6.1,1479
93,Papua Selatan,98.9,98.4,99.3,1.1,0.7,1.6,98.0,97.4,98.4,2.0,1.5,2.5,1636
94,Papua Tengah,98.9,98.3,99.3,1.1,0.7,1.7,96.0,95.1,96.8,3.8,3.1,4.7,2629
95,Papua Pegunungan,98.5,97.6,99.1,1.5,0.9,2.4,90.4,87.4,92.8,9.6,7.2,12.6,938
92,Papua Barat,99.1,98.1,99.6,0.9,0.4,1.9,83.6,77.9,88.1,14.3,10.1,19.9,2192
96,Papua Barat Daya,97.2,94.7,98.5,2.8,1.5,5.3,74.5,66.7,81.0,14.7,11.0,19.3,1688
0,INDONESIA,98.4,98.4,98.5,1.6,1.5,1.6,98.7,98.6,98.7,1.2,1.2,1.3,774665
