province_code,province,abscesses,abscesses_95%_CI_lower,abscesses_95%_CI_upper,bleeding_gums,bleeding_gums_95%_CI_lower,bleeding_gums_95%_CI_upper,canker_sores_recur_min4x,canker_sores_recur_min4x_95%_CI_lower,canker_sores_recur_min4x_95%_CI_upper,canker_sores_persist_dont_heal_atleast_1_month,canker_sores_persist_dont_heal_atleast_1_month_95%_CI_lower,canker_sores_persist_dont_heal_atleast_1_month_95%_CI_upper,weighted_n
11,Aceh,6.4,5.8,7.0,8.2,7.4,9.1,3.1,2.7,3.6,0.7,0.5,0.8,16255
12,Sumatera Utara,5.7,5.1,6.3,6.9,6.4,7.5,3.2,2.8,3.6,0.5,0.4,0.6,45584
13,Sumatera Barat,7.5,6.9,8.2,7.8,7.2,8.6,7.7,6.9,8.7,0.9,0.7,1.2,17114
14,Riau,4.3,3.9,4.8,4.9,4.3,5.5,3.2,2.7,3.7,0.4,0.3,0.5,19685
15,Jambi,2.7,2.3,3.1,4.7,4.0,5.5,2.7,2.2,3.3,0.3,0.2,0.4,10955
16,Sumatera Selatan,5.6,5.0,6.2,5.2,4.5,6.1,3.2,2.8,3.6,0.5,0.4,0.6,26003
17,Bengkulu,5.7,5.0,6.5,5.1,4.4,6.0,3.4,2.9,3.9,0.7,0.5,1.0,6210
18,Lampung,5.4,4.8,6.0,3.6,3.1,4.1,3.8,3.2,4.4,0.5,0.4,0.6,27688
19,Kep. Bangka Belitung,3.4,2.9,3.9,3.1,2.6,3.7,2.1,1.7,2.6,0.2,0.1,0.3,4505
21,Kepulauan Riau,4.2,3.6,5.0,5.2,4.4,6.2,2.3,1.8,2.8,0.3,0.2,0.5,6369
31,DKI Jakarta,6.3,5.6,7.1,4.9,4.2,5.6,2.9,2.4,3.4,0.5,0.3,0.8,31861
32,Jawa Barat,10.9,10.3,11.4,8.7,8.2,9.1,5.4,5.0,5.9,0.7,0.6,0.9,148411
33,Jawa Tengah,7.3,7.0,7.7,5.7,5.3,6.0,4.0,3.7,4.3,0.5,0.4,0.6,112057
34,DI Yogyakarta,7.1,6.4,7.8,6.2,5.5,7.0,4.1,3.5,4.7,0.5,0.3,0.7,11225
35,Jawa Timur,5.7,5.4,6.0,4.4,4.1,4.7,3.2,2.9,3.5,0.4,0.4,0.5,124362
36,Banten,7.7,6.8,8.7,7.3,6.4,8.3,3.7,3.1,4.3,0.5,0.3,0.8,36709
51,Bali,3.7,3.3,4.3,4.2,3.6,4.9,2.3,1.9,2.8,0.2,0.2,0.4,13137
52,Nusa Tenggara Barat,5.7,5.0,6.4,6.4,5.5,7.5,4.3,3.6,5.1,0.5,0.3,0.7,16431
53,Nusa Tenggara Timur,10.3,9.7,10.9,11.8,11.1,12.6,3.1,2.8,3.5,0.5,0.5,0.7,16322
61,Kalimantan Barat,5.0,4.4,5.6,6.6,5.9,7.5,3.5,2.8,4.3,0.5,0.4,0.7,16727
62,Kalimantan Tengah,5.3,4.7,6.0,5.9,5.2,6.8,3.2,2.7,3.9,1.6,1.0,2.4,8225
63,Kalimantan Selatan,5.6,5.0,6.3,5.1,4.5,5.7,4.2,3.6,4.8,0.4,0.3,0.5,12523
64,Kalimantan Timur,8.2,7.4,9.2,9.3,8.4,10.3,4.9,4.3,5.6,0.6,0.4,0.8,11651
65,Kalimantan Utara,5.1,4.1,6.3,5.3,4.0,6.8,2.9,2.2,3.9,0.4,0.2,0.7,2162
71,Sulawesi Utara,9.8,8.9,10.7,10.9,10.0,11.8,5.3,4.7,6.0,0.7,0.5,0.9,7994
72,Sulawesi Tengah,9.7,8.8,10.7,13.4,12.1,14.7,6.1,5.4,7.0,0.7,0.5,0.8,9127
73,Sulawesi Selatan,9.2,8.6,9.8,10.6,9.8,11.4,6.2,5.7,6.7,0.8,0.7,1.0,27815
74,Sulawesi Tenggara,7.3,6.6,8.0,9.3,8.5,10.2,5.4,4.8,6.0,0.7,0.6,0.9,8108
75,Gorontalo,9.5,8.2,11.1,9.7,8.3,11.3,6.3,5.3,7.6,0.6,0.4,0.9,3598
76,Sulawesi Barat,10.0,8.8,11.5,15.7,14.0,17.7,5.8,4.9,6.9,0.6,0.5,0.9,4361
82,Maluku,8.6,7.7,9.6,13.8,12.6,15.1,5.4,4.5,6.3,0.7,0.5,0.9,5673
81,Maluku Utara,8.2,7.2,9.3,14.0,12.6,15.6,4.0,3.3,4.9,0.7,0.5,0.9,3955
91,Papua,4.9,3.8,6.3,8.3,7.0,9.9,1.6,1.1,2.5,0.3,0.2,0.7,1674
93,Papua Selatan,9.3,7.9,10.8,11.6,10.0,13.3,4.0,3.0,5.3,1.0,0.6,1.5,1808
94,Papua Tengah,10.2,8.7,11.8,9.4,7.9,11.2,4.8,3.7,6.4,0.6,0.4,0.9,3058
95,Papua Pegunungan,8.7,7.2,10.4,8.8,7.2,10.7,2.7,1.9,3.8,0.6,0.3,1.0,1539
92,Papua Barat,9.9,7.2,13.5,8.6,6.3,11.5,11.2,6.8,17.9,1.1,0.7,1.7,4350
96,Papua Barat Daya,9.1,7.2,11.5,10.8,8.7,13.4,3.2,2.0,5.1,0.4,0.2,0.9,4341
0,INDONESIA,7.3,7.2,7.5,6.8,6.7,7.0,4.1,4.0,4.3,0.6,0.5,0.6,829573
