province_code,province,dental_oral_problems,dental_oral_problems_95%_CI_lower,dental_oral_problems_95%_CI_upper,weighted_n_problems,receive_treatment_from_dental_workers,receive_treatment_from_dental_workers_95%_CI_lower,receive_treatment_from_dental_workers_95%_CI_upper,received_treatment_from_dental_therapist,received_treatment_from_dental_therapist_95%_CI_lower,received_treatment_from_dental_therapist_95%_CI_upper,reveive_treatment_from_general_practioner,reveive_treatment_from_general_practioner_95%_CI_lower,reveive_treatment_from_general_practioner_95%_CI_upper,weighted_n_treatment
11,Aceh,55.2,53.7,56.7,16255,70.2,67.3,72.9,14.3,12.5,16.4,30.3,27.5,33.3,1482
12,Sumatera Utara,53.4,51.9,54.9,45584,78.0,74.4,81.2,2.9,1.9,4.3,22.6,19.4,26.2,1734
13,Sumatera Barat,61.1,59.7,62.4,17114,78.4,75.5,81.1,3.7,2.8,4.9,22.5,19.3,26.0,1223
14,Riau,51.2,49.3,53.1,19685,80.4,76.6,83.6,3.7,2.3,5.8,19.0,15.8,22.6,1015
15,Jambi,50.9,48.9,52.8,10955,85.2,81.4,88.3,6.6,4.8,9.2,18.4,14.8,22.7,524
16,Sumatera Selatan,56.2,54.6,57.9,26003,67.7,63.8,71.4,5.8,4.2,8.1,29.1,25.7,32.8,1172
17,Bengkulu,51.5,49.6,53.4,6210,75.2,70.4,79.5,0.8,0.4,1.5,26.1,21.7,31.0,292
18,Lampung,58.4,56.8,60.0,27688,60.6,55.8,65.2,7.5,5.2,10.6,34.0,29.7,38.6,1110
19,Kep. Bangka Belitung,46.9,44.5,49.2,4505,86.2,82.2,89.4,6.4,4.1,9.9,8.9,6.6,12.0,236
21,Kepulauan Riau,49.9,47.0,52.8,6369,89.4,86.3,91.8,3.3,1.9,5.5,7.4,5.3,10.0,421
31,DKI Jakarta,50.0,48.0,51.9,31861,95.4,93.5,96.8,1.6,0.9,2.7,3.6,2.3,5.5,3433
32,Jawa Barat,63.4,62.5,64.4,148411,84.3,82.5,85.9,3.9,3.2,4.8,14.4,12.8,16.2,13204
33,Jawa Tengah,56.9,56.0,57.8,112057,83.0,81.4,84.5,3.2,2.6,4.0,16.0,14.5,17.6,7480
34,DI Yogyakarta,59.0,56.8,61.1,11225,90.3,87.3,92.7,2.7,1.7,4.2,9.7,7.3,12.7,1259
35,Jawa Timur,51.2,50.2,52.1,124362,82.4,80.7,84.0,3.3,2.6,4.2,16.6,15.0,18.3,8724
36,Banten,56.3,54.5,58.1,36709,85.5,82.4,88.2,2.7,1.7,4.3,14.1,11.6,16.9,2822
51,Bali,46.5,44.5,48.5,13137,90.0,87.7,92.0,4.1,2.7,6.2,7.2,5.6,9.1,1077
52,Nusa Tenggara Barat,53.1,51.0,55.2,16431,76.4,72.4,80.0,15.2,11.9,19.2,15.7,12.2,19.9,1055
53,Nusa Tenggara Timur,56.6,55.5,57.6,16322,58.1,53.4,62.6,6.3,4.9,8.1,39.5,34.9,44.3,712
61,Kalimantan Barat,55.3,53.1,57.4,16727,64.9,60.5,69.1,14.3,11.6,17.6,23.8,20.0,28.1,1112
62,Kalimantan Tengah,52.9,50.5,55.4,8225,65.2,59.5,70.4,13.1,9.7,17.6,24.4,19.7,29.8,289
63,Kalimantan Selatan,57.7,56.0,59.4,12523,84.5,81.1,87.4,9.4,7.1,12.3,13.7,10.7,17.5,808
64,Kalimantan Timur,58.6,56.5,60.7,11651,92.6,90.6,94.2,1.9,1.2,3.0,7.2,5.6,9.2,1147
65,Kalimantan Utara,60.5,57.0,63.9,2162,90.5,78.5,96.1,4.7,2.6,8.3,3.7,2.0,6.7,185
71,Sulawesi Utara,64.9,63.0,66.8,7994,76.0,72.0,79.6,5.4,3.8,7.6,19.8,16.5,23.6,412
72,Sulawesi Tengah,66.5,64.9,68.2,9127,73.0,68.9,76.7,8.9,6.9,11.3,19.5,16.3,23.2,548
73,Sulawesi Selatan,68.4,67.4,69.4,27815,86.0,83.9,87.8,5.5,4.5,6.7,9.4,7.9,11.2,2241
74,Sulawesi Tenggara,58.6,56.8,60.4,8108,82.8,79.9,85.4,9.5,7.4,12.1,10.3,8.4,12.7,528
75,Gorontalo,61.4,58.7,64.0,3598,77.3,71.7,82.1,3.5,1.9,6.5,19.8,15.5,24.8,154
76,Sulawesi Barat,68.4,66.5,70.3,4361,78.3,72.3,83.3,5.8,3.4,9.8,20.9,15.2,28.1,271
82,Maluku,64.9,63.0,66.7,5673,74.4,68.4,79.6,7.2,4.8,10.6,22.5,17.9,28.0,204
81,Maluku Utara,56.4,54.2,58.5,3955,72.5,65.6,78.4,2.2,1.2,4.1,24.9,19.5,31.1,157
91,Papua,49.4,46.2,52.7,1674,74.8,63.9,83.2,7.5,2.8,18.2,27.6,19.6,37.4,61
93,Papua Selatan,61.8,59.0,64.5,1808,86.7,81.3,90.6,1.0,0.5,2.4,14.8,10.3,20.7,81
94,Papua Tengah,56.8,54.2,59.4,3058,83.0,76.0,88.2,1.5,0.7,3.3,23.0,16.7,30.9,285
95,Papua Pegunungan,61.9,58.4,65.4,1539,64.5,53.9,73.9,4.0,1.6,9.5,33.9,25.2,43.8,84
92,Papua Barat,60.7,56.3,64.9,4350,32.3,16.6,53.2,2.6,1.1,5.6,73.6,53.8,87.0,774
96,Papua Barat Daya,55.9,51.0,60.7,4341,43.4,32.5,55.1,7.2,3.0,16.1,66.7,55.4,76.3,248
0,INDONESIA,56.9,56.6,57.3,829573,81.4,80.7,82.2,4.5,4.3,4.8,17.1,16.3,17.8,58564
