province_code,province,never_seek_treatment_from_health_profesional,never_seek_treatment_from_health_profesional_95%_CI_lower,never_seek_treatment_from_health_profesional_95%_CI_upper,weighted_n_never_seek_treatment,reason_not_having_toothache,reason_not_having_toothache_95%_CI_lower,reason_not_having_toothache_95%_CI_upper,reason_no_urgency,reason_no_urgency_95%_CI_lower,reason_no_urgency_95%_CI_upper,reason_going_to_unlicensed_dentist,reason_going_to_unlicensed_dentist_95%_CI_lower,reason_going_to_unlicensed_dentist_95%_CI_upper,reason_self_treatment,reason_self_treatment_95%_CI_lower,reason_self_treatment_95%_CI_upper,weighted_n_reason
11,Aceh,90.0,89.3,90.6,16255,61.3,59.9,62.7,57.6,55.9,59.3,2.2,1.8,2.6,26.6,25.3,27.9,14714
12,Sumatera Utara,95.6,95.2,96.0,45584,56.7,55.3,58.2,46.6,44.9,48.3,1.7,1.3,2.1,32.8,31.3,34.2,43853
13,Sumatera Barat,92.0,91.4,92.5,17114,58.5,57.0,60.0,62.8,61.1,64.5,1.1,0.9,1.5,20.9,19.6,22.3,15838
14,Riau,94.2,93.6,94.7,19685,58.6,56.7,60.5,56.8,54.8,58.7,1.9,1.5,2.4,25.8,24.3,27.3,18649
15,Jambi,94.6,93.9,95.2,10955,60.9,58.8,63.0,52.7,50.3,55.1,2.9,2.3,3.6,30.7,28.8,32.8,10430
16,Sumatera Selatan,94.8,94.2,95.3,26003,57.6,56.0,59.2,51.5,49.5,53.6,0.8,0.6,1.1,30.7,29.2,32.2,24804
17,Bengkulu,94.7,94.0,95.4,6210,61.6,59.7,63.4,55.8,53.5,58.0,0.8,0.6,1.1,23.1,21.6,24.6,5919
18,Lampung,95.4,94.9,95.9,27688,61.9,60.1,63.6,56.0,54.2,57.8,1.1,0.8,1.4,24.2,22.8,25.7,26587
19,Kep. Bangka Belitung,93.9,93.2,94.5,4505,66.8,64.4,69.1,53.1,50.0,56.1,1.7,1.2,2.3,20.2,18.3,22.3,4255
21,Kepulauan Riau,92.6,91.7,93.5,6369,73.1,70.6,75.4,54.8,51.2,58.4,1.1,0.7,1.9,17.9,15.7,20.3,5936
31,DKI Jakarta,87.0,85.8,88.0,31861,65.6,63.5,67.6,55.8,52.7,58.8,0.5,0.3,0.8,13.5,12.3,14.8,27874
32,Jawa Barat,89.9,89.5,90.4,148411,58.0,57.0,59.0,60.7,59.5,61.9,0.8,0.6,0.9,28.1,27.1,29.2,134308
33,Jawa Tengah,92.4,92.0,92.7,112057,64.9,64.1,65.8,60.0,58.8,61.2,0.6,0.5,0.7,19.1,18.5,19.8,104155
