province_code,province,taking_medicine,taking_medicine_95%_CI_lower,taking_medicine_95%_CI_upper,dental_hygine_and_health_counseling,dental_hygine_and_health_counseling_95%_CI_lower,dental_hygine_and_health_counseling_95%_CI_upper,tooth_filling,tooth_filling_95%_CI_lower,tooth_filling_95%_CI_upper,tooth_pulling,tooth_pulling_95%_CI_lower,tooth_pulling_95%_CI_upper,dentures_installation,dentures_installation_95%_CI_lower,dentures_installation_95%_CI_upper,scaling,scaling_95%_CI_lower,scaling_95%_CI_upper,weighted_n
11,Aceh,88.1,86.1,89.8,38.6,35.6,41.6,19.7,17.6,22.0,39.7,37.0,42.5,4.1,3.3,5.0,7.7,6.3,9.3,1517
12,Sumatera Utara,70.0,65.4,74.2,36.6,31.4,42.2,19.2,16.1,22.9,34.2,30.5,38.1,4.3,3.1,5.9,14.1,11.2,17.5,1859
13,Sumatera Barat,74.5,71.8,77.0,42.1,38.9,45.3,25.6,23.1,28.4,33.2,30.4,36.0,3.6,2.7,4.7,9.0,7.3,11.1,1277
14,Riau,73.7,69.7,77.4,38.4,34.8,42.1,21.4,18.8,24.3,37.7,34.6,40.9,4.8,3.5,6.5,6.4,4.6,8.8,1070
15,Jambi,82.6,79.2,85.6,49.6,44.1,55.0,20.9,17.5,24.8,46.3,42.4,50.3,3.3,2.2,5.1,7.9,5.7,10.9,548
16,Sumatera Selatan,75.3,70.1,79.7,39.3,35.3,43.3,19.4,16.5,22.7,33.2,29.5,37.1,2.7,1.7,4.5,8.8,6.0,12.6,1256
17,Bengkulu,78.0,72.7,82.6,32.9,27.8,38.5,20.5,17.0,24.5,36.0,31.1,41.3,3.5,2.2,5.5,9.5,6.3,14.2,304
18,Lampung,71.7,65.0,77.6,31.0,27.2,35.2,13.5,11.2,16.1,29.8,26.0,33.8,3.4,2.3,5.2,6.1,3.6,10.2,1175
19,Kep. Bangka Belitung,47.9,42.7,53.3,25.8,21.9,30.2,17.1,14.3,20.4,51.9,47.9,56.0,5.3,3.7,7.5,9.7,7.1,13.3,257
21,Kepulauan Riau,66.5,60.7,71.9,33.6,28.5,39.1,21.2,16.6,26.5,40.2,35.1,45.6,2.4,1.4,4.3,7.3,5.2,10.2,436
31,DKI Jakarta,47.6,43.3,5.02,46.3,42.3,50.3,41.3,38.0,44.6,23.3,20.3,26.5,4.3,3.1,5.8,21.2,18.0,24.8,3866
32,Jawa Barat,69.9,67.8,71.9,49.9,47.7,52.1,25.7,23.9,27.5,30.4,28.8,32.2,2.6,2.1,3.2,14.1,12.7,15.7,13880
33,Jawa Tengah,70.5,68.2,72.7,44.9,42.8,47.1,21.0,19.5,22.7,26.3,24.7,28.0,2.2,1.8,2.7,10.7,9.4,12.0,7941
34,DI Yogyakarta,54.8,50.9,58.7,40.8,37.2,44.5,21.3,18.7,24.2,26.5,23.8,29.5,3.4,2.3,4.9,17.8,15.1,20.7,1412
35,Jawa Timur,64.4,62.3,66.5,42.3,40.1,44.5,24.5,23.0,26.1,29.8,28.1,31.7,3.0,2.4,3.7,11.8,10.5,13.3,9369
36,Banten,66.0,61.7,70.0,39.7,35.6,44.1,26.2,23.0,29.6,29.6,26.4,33.0,2.0,1.4,3.0,12.7,9.8,16.3,3001
51,Bali,54.1,49.8,58.4,38.9,35.4,42.6,35.0,32.0,38.1,29.5,27.0,32.0,3.3,2.3,4.6,19.1,16.5,22.1,1225
52,Nusa Tenggara Barat,77.1,73.4,80.5,53.7,49.3,57.9,26.7,23.2,30.6,35.4,31.9,39.0,4.9,3.1,7.7,11.0,8.3,14.5,1085
53,Nusa Tenggara Timur,87.3,84.9,89.5,49.7,45.2,54.2,11.3,9.3,13.5,31.4,28.0,34.9,3.1,2.2,4.3,7.5,5.8,9.7,714
61,Kalimantan Barat,67.5,63.6,71.2,34.4,30.2,38.8,26.8,23.7,30.2,35.4,31.8,39.1,2.8,2.0,4.0,10.2,8.1,12.7,1166
62,Kalimantan Tengah,67.1,61.4,72.3,32.6,27.8,37.7,25.4,21.3,29.9,32.9,28.3,38.0,2.0,1.2,3.2,8.7,6.0,12.5,311
63,Kalimantan Selatan,58.8,54.4,63.0,35.2,31.5,39.0,42.5,38.9,46.1,37.2,34.0,40.6,4.0,2.9,5.5,9.6,7.5,12.1,842
64,Kalimantan Timur,50.9,47.1,54.7,45.3,41.4,49.3,31.1,27.9,34.5,33.2,30.4,36.1,1.6,0.9,2.8,14.9,11.6,18.9,1262
65,Kalimantan Utara,57.8,48.8,66.3,40.1,32.2,48.5,39.9,32.3,48.0,36.0,30.8,41.6,1.8,0.8,4.1,14.2,10.0,19.6,192
71,Sulawesi Utara,69.2,64.9,73.1,38.4,34.0,42.9,14.8,12.1,18.1,44.1,39.9,48.4,7.6,5.6,10.4,10.2,7.8,13.2,422
