province_code,province,census_block_target,census_block_visited,census_block_response_rate,household_target,household_visited,household_response_rate,household_member_visited,household_member_examined
11,Aceh,90,90,100.0,900,638,70.89,2700,1133
12,Sumatera Utara,120,118,98.33,1200,772,64.33,3600,1364
13,Sumatera Barat,80,80,100.0,800,560,70.0,2400,988
14,Riau,70,70,100.0,700,478,68.29,2100,937
15,Jambi,50,50,100.0,500,378,75.6,1500,726
16,Sumatera Selatan,80,80,100.0,800,646,80.75,2400,1468
17,Bengkulu,40,38,95.0,400,303,75.75,1200,683
18,Lampung,80,80,100.0,800,617,77.13,2400,1337
19,Kep. Bangka Belitung,30,30,100.0,300,225,75.0,900,518
21,Kepulauan Riau,20,20,100.0,200,116,58.0,600,202
31,DKI Jakarta,50,50,100.0,500,383,76.6,1500,902
32,Jawa Barat,210,210,100.0,2100,1641,78.14,6300,3551
33,Jawa Tengah,260,260,100.0,2600,2112,81.23,7800,4344
34,DI Yogyakarta,40,40,100.0,400,327,81.75,1200,810
35,Jawa Timur,280,280,100.0,2800,2198,78.5,8400,4113
36,Banten,60,60,100.0,600,428,71.33,1800,876
51,Bali,50,50,100.0,500,315,63.0,1500,688
52,Nusa Tenggara Barat,60,60,100.0,600,479,79.83,1800,1080
53,Nusa Tenggara Timur,80,80,100.0,800,688,86.0,2400,1658
61,Kalimantan Barat,70,70,100.0,700,499,71.29,2100,967
62,Kalimantan Tengah,50,50,100.0,500,342,68.4,1500,665
63,Kalimantan Selatan,70,70,100.0,700,432,61.71,2100,817
64,Kalimantan Timur,50,49,98.0,500,269,53.8,1500,546
65,Kalimantan Utara,20,20,100.0,200,155,77.5,600,368
71,Sulawesi Utara,50,50,100.0,500,366,73.2,1500,716
72,Sulawesi Tengah,50,47,94.0,500,362,72.4,1500,789
73,Sulawesi Selatan,100,100,100.0,1000,760,76.0,3000,1558
74,Sulawesi Tenggara,50,50,100.0,500,326,65.2,1500,570
75,Gorontalo,30,30,100.0,300,236,78.67,900,639
76,Sulawesi Barat,30,30,100.0,300,206,68.67,900,426
82,Maluku,40,34,85.0,400,252,63.0,1200,539
81,Maluku Utara,30,30,100.0,300,240,80.0,900,508
92,Papua Barat,10,10,100.0,100,58,58.0,300,125
96,Papua Barat Daya,20,16,80.0,200,100,50.0,600,210
91,Papua,20,9,45.0,200,57,28.5,600,135
93,Papua Selatan,20,17,85.0,200,107,53.5,600,294
94,Papua Tengah,30,14,46.67,300,90,30.0,900,188
95,Papua Pegunungan,10,1,10.0,100,3,3.0,300,5
0,INDONESIA,2500,2443,97.72,25000,18164,72.66,75000,37443
