province_code,province,in_district_or_city,nearest_district_or_city,none,unaware,weighted_n
11,Aceh,93.3,6.3,0.2,0.1,5756
12,Sumatera Utara,93.1,4.9,1.1,0.9,15886
13,Sumatera Barat,96.1,3.0,0.6,0.4,6043
14,Riau,92.9,5.9,0.5,0.6,7052
15,Jambi,94.7,4.9,0.1,0.4,4051
16,Sumatera Selatan,93.1,5.2,0.8,0.9,9402
17,Bengkulu,94.0,4.2,1.2,0.6,2323
18,Lampung,94.0,4.1,0.5,1.3,10424
19,Kep. Bangka Belitung,96.5,2.6,0.4,0.6,1708
21,Kepulauan Riau,85.9,10.9,1.1,2.2,2514
31,DKI Jakarta,96.1,1.9,0.1,2.0,12318
32,Jawa Barat,94.2,3.8,0.3,1.8,58514
33,Jawa Tengah,96.8,2.0,0.1,1.1,44459
34,DI Yogyakarta,98.2,1.0,0.0,0.9,4957
35,Jawa Timur,97.5,1.3,0.2,1.1,50591
36,Banten,93.6,5.2,0.2,1.1,13333
51,Bali,97.7,1.8,0.1,0.4,5149
52,Nusa Tenggara Barat,95.1,3.5,0.5,0.9,6849
53,Nusa Tenggara Timur,92.2,6.8,0.6,0.4,5335
61,Kalimantan Barat,92.5,6.4,0.3,0.7,5784
62,Kalimantan Tengah,86.3,11.3,1.9,0.5,3178
63,Kalimantan Selatan,95.3,3.6,0.2,0.9,5023
64,Kalimantan Timur,95.9,2.8,0.4,1.0,4320
65,Kalimantan Utara,96.8,2.4,0.6,0.3,729
71,Sulawesi Utara,89.8,7.9,1.0,1.2,3031
72,Sulawesi Tengah,92.0,5.7,1.9,0.4,3216
73,Sulawesi Selatan,89.6,8.7,0.5,1.2,9484
74,Sulawesi Tenggara,91.7,7.2,0.5,0.7,2733
75,Gorontalo,92.5,6.9,0.1,0.6,1260
76,Sulawesi Barat,97.4,2.0,0.2,0.4,1467
82,Maluku,87.2,11.0,1.2,0.6,1753
81,Maluku Utara,84.3,11.0,2.7,2.0,1222
92,Papua Barat,92.6,5.3,1.1,1.0,563
96,Papua Barat Daya,90.1,5.9,2.4,1.5,599
91,Papua,90.6,8.2,0.9,0.3,1029
93,Papua Selatan,89.0,7.9,1.9,1.2,546
94,Papua Tengah,85.8,12.3,1.6,0.3,1528
95,Papua Pegunungan,82.7,13.5,3.5,0.3,1516
0,INDONESIA,94.6,3.9,0.4,1.1,315646
