province_code,province,easy_access,easy_access_95%_CI_lower,easy_access_95%_CI_upper,difficult_access,difficult_access_95%_CI_lower,difficult_access_95%_CI_upper,very_difficult_access,very_difficult_access_95%_CI_lower,very_difficult_access_95%_CI_upper,weighted_n
11,Aceh,32.3,28.9,35.9,26.3,22.7,30.2,41.4,37.2,45.7,1383
12,Sumatera Utara,24.5,21.0,28.3,30.1,26.2,34.4,45.4,41.0,49.8,3523
13,Sumatera Barat,35.7,30.4,41.3,32.0,26.9,37.5,32.3,26.5,38.8,1456
14,Riau,35.6,30.9,40.7,23.7,20.2,27.7,40.6,36.1,45.3,2031
15,Jambi,33.3,28.8,38.1,28.3,24.4,32.6,38.4,34.1,43.0,1222
16,Sumatera Selatan,23.9,20.0,28.4,31.2,26.7,36.1,44.9,39.9,50.0,1495
17,Bengkulu,44.0,37.6,50.5,23.1,15.8,32.3,33.0,27.5,38.9,524
18,Lampung,42.6,36.4,49.1,25.4,20.4,31.0,32.0,26.3,38.4,2391
19,Kep. Bangka Belitung,40.8,32.9,49.3,35.1,27.7,43.2,24.1,18.6,30.6,380
21,Kepulauan Riau,42.2,34.0,50.7,39.6,32.7,46.9,18.3,13.2,24.7,820
31,DKI Jakarta,60.3,56.1,64.4,29.7,26.3,33.2,10.0,7.7,13.0,3477
32,Jawa Barat,49.2,46.8,51.6,31.0,29.0,33.0,19.8,17.9,21.9,15884
33,Jawa Tengah,42.6,40.4,44.8,34.9,32.7,37.2,22.5,20.5,24.7,10098
34,DI Yogyakarta,56.4,51.9,60.7,31.9,28.3,35.7,11.7,8.9,15.2,1647
35,Jawa Timur,46.2,44.1,48.4,29.5,27.6,31.4,24.3,22.4,26.3,19218
36,Banten,54.3,49.5,58.9,24.8,21.2,28.7,21.0,17.9,24.4,3046
51,Bali,52.1,46.5,57.6,35.3,30.4,40.5,12.7,10.5,15.2,1736
52,Nusa Tenggara Barat,45.1,38.7,51.7,31.2,23.3,40.5,23.6,17.8,30.7,1052
53,Nusa Tenggara Timur,42.0,38.4,45.8,21.4,18.5,24.6,36.6,33.1,40.2,1389
61,Kalimantan Barat,31.1,26.9,35.5,16.4,13.9,19.2,52.6,48.0,57.1,1473
62,Kalimantan Tengah,24.5,20.8,28.6,21.8,18.2,26.0,53.7,48.4,58.8,1305
63,Kalimantan Selatan,39.2,33.8,45.0,40.1,34.8,45.7,20.7,16.0,26.2,836
64,Kalimantan Timur,47.9,42.7,53.1,26.0,22.1,30.3,26.1,21.8,30.9,1244
65,Kalimantan Utara,42.5,34.0,51.5,25.8,20.2,32.2,31.7,24.2,40.2,189
71,Sulawesi Utara,44.7,39.6,50.0,28.0,23.2,33.4,27.2,22.6,32.4,987
72,Sulawesi Tengah,47.7,39.4,56.0,20.4,15.9,25.8,31.9,24.9,39.9,351
73,Sulawesi Selatan,39.3,34.0,44.8,31.9,27.4,36.8,28.8,24.3,33.8,1740
74,Sulawesi Tenggara,44.9,37.5,52.6,25.8,20.7,31.7,29.2,23.6,35.5,626
75,Gorontalo,57.2,50.3,63.9,20.2,14.6,27.2,22.6,18.2,27.7,197
76,Sulawesi Barat,36.2,24.4,50.0,19.8,10.4,34.4,44.0,31.1,57.7,169
82,Maluku,43.4,34.5,52.6,21.1,15.6,27.8,35.6,28.0,43.9,351
81,Maluku Utara,44.3,37.8,50.9,11.2,7.4,16.6,44.6,37.9,51.5,226
92,Papua Barat,30.7,23.2,39.4,19.4,13.8,26.5,50.0,39.1,60.8,165
96,Papua Barat Daya,50.1,39.2,60.9,39.1,28.2,51.2,10.8,7.0,16.4,94
91,Papua,47.9,40.7,55.2,24.9,19.4,31.3,27.2,22.7,32.3,590
93,Papua Selatan,48.8,37.8,60.1,22.8,15.3,32.6,28.4,20.7,37.6,95
94,Papua Tengah,46.1,26.1,67.5,15.8,8.8,26.7,38.1,22.7,56.4,187
95,Papua Pegunungan,4.4,1.6,12.0,21.7,12.3,35.3,73.9,61.9,83.2,280
0,INDONESIA,44.1,43.2,45.0,29.6,28.8,30.4,26.3,25.5,27.1,83877
