province_code,province,easy_access,easy_access_95%_CI_lower,easy_access_95%_CI_upper,difficult_access,difficult_access_95%_CI_lower,difficult_access_95%_CI_upper,very_difficult_access,very_difficult_access_95%_CI_lower,very_difficult_access_95%_CI_upper,weighted_n
11,Aceh,29.8,27.9,31.8,44.0,41.6,46.4,26.1,23.9,28.5,5446
12,Sumatera Utara,35.2,32.5,38.0,37.0,34.6,39.5,27.8,25.8,29.9,13683
13,Sumatera Barat,33.1,30.4,35.9,42.7,39.7,45.7,24.2,21.9,26.8,5440
14,Riau,29.3,26.9,31.9,37.1,34.1,40.1,33.6,30.8,36.6,6313
15,Jambi,24.8,22.5,27.3,34.8,31.8,37.9,40.4,37.4,43.5,3629
16,Sumatera Selatan,27.2,25.2,29.4,38.1,35.6,40.6,34.7,32.5,37.0,8437
17,Bengkulu,31.4,28.7,34.3,44.6,41.0,48.2,24.0,21.1,27.2,2101
18,Lampung,23.0,20.7,25.5,48.0,44.8,51.3,29.0,26.1,32.1,9223
19,Kep. Bangka Belitung,45.4,41.9,49.0,38.7,35.2,42.2,15.9,13.6,18.5,1591
21,Kepulauan Riau,63.3,58.1,68.3,24.0,19.5,29.2,12.7,11.1,14.4,2402
31,DKI Jakarta,67.0,63.7,70.2,25.9,22.7,29.4,7.0,5.8,8.5,11532
32,Jawa Barat,38.1,36.5,39.7,40.8,39.3,42.4,21.1,19.8,22.4,53401
33,Jawa Tengah,37.4,36.0,38.8,49.4,47.9,50.8,13.2,12.2,14.4,41756
34,DI Yogyakarta,67.5,64.6,70.3,28.9,26.3,31.7,3.6,2.7,4.7,4782
35,Jawa Timur,36.8,35.3,38.3,45.6,43.9,47.2,17.7,16.4,19.0,46703
36,Banten,41.7,38.5,44.9,33.5,30.6,36.5,24.8,22.8,27.0,12022
51,Bali,50.3,46.9,53.6,39.8,36.6,43.1,9.9,8.1,12.1,4945
52,Nusa Tenggara Barat,32.3,29.2,35.6,41.5,37.5,45.5,26.2,22.7,30.1,6135
53,Nusa Tenggara Timur,28.5,26.9,30.3,24.7,22.9,26.6,46.8,44.7,48.8,4518
61,Kalimantan Barat,25.6,23.2,28.2,27.7,25.1,30.5,46.6,43.9,49.4,5148
62,Kalimantan Tengah,20.5,17.6,23.8,29.4,26.2,32.7,50.1,46.3,53.9,2736
63,Kalimantan Selatan,35.4,32.8,38.0,42.4,39.6,45.1,22.3,20.1,24.6,4647
64,Kalimantan Timur,37.2,34.1,40.5,35.3,31.9,38.8,27.5,24.5,30.7,3917
65,Kalimantan Utara,40.7,36.1,45.4,35.1,30.0,40.6,24.2,20.1,28.8,645
71,Sulawesi Utara,48.6,44.5,52.8,33.5,29.2,38.2,17.9,16.0,19.9,2670
72,Sulawesi Tengah,29.8,26.8,33.0,30.0,27.2,32.9,40.3,37.0,43.6,2510
73,Sulawesi Selatan,31.5,29.4,33.7,46.8,44.5,49.1,21.7,20.0,23.5,8545
74,Sulawesi Tenggara,32.4,27.4,37.7,38.0,34.2,41.9,29.6,26.7,32.7,2213
75,Gorontalo,37.6,33.6,41.9,31.6,27.9,35.6,30.7,27.1,34.7,1139
76,Sulawesi Barat,21.9,18.5,25.7,31.6,26.8,36.9,46.5,41.2,51.9,1187
82,Maluku,31.3,27.1,35.8,25.3,21.8,29.3,43.4,39.8,47.1,1204
81,Maluku Utara,26.9,24.1,29.9,26.3,22.9,29.9,46.8,42.9,50.8,913
92,Papua Barat,27.5,22.8,32.8,28.9,23.8,34.6,43.6,37.1,50.3,434
96,Papua Barat Daya,42.2,37.2,47.3,26.2,21.8,31.2,31.6,27.6,35.9,441
91,Papua,48.7,43.6,53.9,21.8,18.4,25.6,29.5,25.2,34.2,904
93,Papua Selatan,26.3,21.4,31.9,21.3,16.8,26.8,52.4,46.6,58.1,440
94,Papua Tengah,25.2,18.5,33.2,29.0,22.8,36.1,45.8,37.8,54.1,1243
95,Papua Pegunungan,16.9,11.3,24.5,21.0,13.5,31.0,62.2,52.9,70.6,1122
0,INDONESIA,37.2,36.7,37.8,40.4,39.8,41.0,22.4,21.9,22.8,286114
