province_code,province,easy_access,comprehensive_facilities,free_service_costs,communicative_health_workers,comfortable_room,quick_precise_accurate_services,services_meet_expectation,weighted_n
11,Aceh,98.0,79.4,97.0,88.6,86.3,81.2,82.2,4422
12,Sumatera Utara,95.6,75.3,90.8,78.5,76.0,73.2,74.9,7354
13,Sumatera Barat,97.9,82.3,92.8,87.2,86.0,83.7,83.8,3636
14,Riau,96.1,81.1,92.7,87.0,85.0,78.8,82.1,2985
15,Jambi,97.9,84.6,94.2,89.1,86.1,83.3,84.3,2620
16,Sumatera Selatan,97.3,87.5,92.0,87.2,86.9,85.2,85.3,4635
17,Bengkulu,96.9,72.7,89.3,78.5,76.0,74.9,77.2,1306
18,Lampung,96.8,81.4,92.6,81.3,78.7,77.8,78.1,4725
19,Kep. Bangka Belitung,94.7,81.6,91.2,79.4,79.5,76.7,78.5,817
21,Kepulauan Riau,96.4,77.8,94.5,81.7,83.7,79.8,81.9,1022
31,DKI Jakarta,97.3,83.1,95.8,85.6,84.0,76.4,78.7,6980
32,Jawa Barat,97.6,85.0,94.8,86.2,86.0,81.1,83.5,26693
33,Jawa Tengah,97.4,85.6,94.8,87.1,85.9,82.9,85.8,20649
34,DI Yogyakarta,98.1,89.7,95.6,91.5,91.0,83.9,90.3,2409
35,Jawa Timur,96.4,82.2,92.3,83.2,80.4,79.4,82.3,19871
36,Banten,97.0,87.7,95.3,87.8,87.1,83.7,85.4,6085
51,Bali,98.4,83.2,93.6,85.2,81.4,80.6,82.2,2712
52,Nusa Tenggara Barat,96.2,82.1,91.4,81.3,78.6,75.8,79.0,5014
53,Nusa Tenggara Timur,91.2,75.2,90.1,87.5,85.0,84.0,83.8,4707
61,Kalimantan Barat,94.8,69.4,89.3,76.0,71.4,69.0,72.1,3728
62,Kalimantan Tengah,96.5,74.1,89.6,83.5,77.8,77.1,77.5,2081
63,Kalimantan Selatan,97.0,78.5,89.2,78.7,73.7,73.2,75.1,3175
64,Kalimantan Timur,97.0,82.0,93.1,86.6,84.3,79.2,81.8,2763
65,Kalimantan Utara,93.2,87.1,96.0,92.4,90.1,87.4,87.6,475
71,Sulawesi Utara,97.8,76.1,92.4,86.3,81.7,83.8,83.4,2364
72,Sulawesi Tengah,96.5,74.7,87.6,75.2,76.6,74.4,74.0,2419
73,Sulawesi Selatan,97.4,82.6,91.8,84.0,82.3,80.0,81.0,7748
74,Sulawesi Tenggara,96.9,80.0,93.4,88.0,86.3,84.7,83.7,2285
75,Gorontalo,97.4,86.4,94.0,86.5,86.8,84.7,85.9,921
76,Sulawesi Barat,95.6,76.5,93.8,78.5,76.8,73.3,74.9,1237
82,Maluku,94.1,77.0,90.9,86.2,85.0,81.9,81.5,1314
81,Maluku Utara,95.9,81.0,94.8,92.0,91.3,90.5,90.4,1007
92,Papua Barat,94.4,60.7,93.3,85.5,78.8,75.0,74.5,498
96,Papua Barat Daya,96.5,75.4,92.6,85.2,82.5,79.4,79.2,566
91,Papua,94.3,72.3,91.0,82.6,77.0,75.9,78.2,885
93,Papua Selatan,91.0,74.7,92.6,82.7,83.8,83.3,81.7,500
94,Papua Tengah,93.2,54.0,90.0,81.4,68.0,65.1,71.1,1315
95,Papua Pegunungan,82.3,43.4,87.0,68.2,56.9,63.3,55.8,1497
0,INDONESIA,96.6,81.4,93.1,84.6,82.7,79.7,81.6,165422
