province_code,province,easy_access,easy_access_95%_CI_lower,easy_access_95%_CI_upper,difficult_access,difficult_access_95%_CI_lower,difficult_access_95%_CI_upper,very_difficult_access,very_difficult_access_95%_CI_lower,very_difficult_access_95%_CI_upper,weighted_n
11,Aceh,51.1,48.7,53.5,21.3,19.6,23.1,27.6,25.4,30.0,5749
12,Sumatera Utara,40.5,38.0,43.0,18.7,17.2,20.3,40.8,38.3,43.4,15599
13,Sumatera Barat,53.1,50.2,56.0,22.7,20.7,24.9,24.2,22.0,26.6,5999
14,Riau,39.7,36.9,42.7,17.2,15.2,19.4,43.1,40.0,46.1,6985
15,Jambi,41.5,38.8,44.4,18.9,16.8,21.2,39.5,36.7,42.4,4042
16,Sumatera Selatan,41.0,38.7,43.4,18.4,16.8,20.1,40.5,38.1,43.1,9259
17,Bengkulu,58.8,55.6,61.9,18.4,16.2,20.9,22.8,20.0,25.9,2287
18,Lampung,40.6,37.7,43.5,24.4,22.1,26.9,35.0,32.1,38.0,10258
19,Kep. Bangka Belitung,50.6,47.0,54.2,21.8,19.3,24.6,27.5,24.4,30.9,1695
21,Kepulauan Riau,58.6,53.5,63.5,21.3,18.2,24.8,20.1,17.1,23.5,2437
31,DKI Jakarta,68.6,65.7,71.4,16.8,15.0,18.8,14.6,12.4,17.0,12093
32,Jawa Barat,50.8,49.2,52.4,22.1,21.1,23.2,27.1,25.7,28.6,57448
33,Jawa Tengah,52.2,50.6,53.7,25.8,24.6,27.1,22.0,20.6,23.5,44011
34,DI Yogyakarta,69.0,65.8,72.0,20.2,18.1,22.6,10.8,8.8,13.1,4925
35,Jawa Timur,51.7,50.2,53.2,23.7,22.6,24.9,24.6,23.2,26.0,50061
36,Banten,51.1,48.1,54.0,22.4,20.2,24.8,26.5,23.9,29.3,13202
51,Bali,63.3,60.1,66.4,20.5,18.2,22.9,16.2,14.0,18.7,5135
52,Nusa Tenggara Barat,55.3,51.4,59.0,18.9,16.6,21.5,25.8,22.4,29.5,6768
53,Nusa Tenggara Timur,30.6,28.9,32.4,13.7,12.6,14.8,55.7,53.8,57.6,5297
61,Kalimantan Barat,35.6,33.0,38.2,15.3,13.3,17.5,49.1,46.5,51.7,5737
62,Kalimantan Tengah,36.1,33.0,39.3,16.2,14.1,18.6,47.7,44.1,51.3,3107
63,Kalimantan Selatan,52.5,49.7,55.3,21.9,19.9,24.1,25.6,23.2,28.1,4979
64,Kalimantan Timur,55.2,52.1,58.2,16.9,14.8,19.1,28.0,25.3,30.8,4270
65,Kalimantan Utara,38.8,33.8,44.0,23.4,19.5,27.9,37.8,33.1,42.7,725
71,Sulawesi Utara,56.8,53.9,59.8,19.7,17.7,21.8,23.5,21.0,26.2,2971
72,Sulawesi Tengah,47.1,44.1,50.2,18.6,16.6,20.8,34.3,31.5,37.2,3149
73,Sulawesi Selatan,46.9,44.8,49.0,17.8,16.4,19.3,35.3,33.3,37.3,9346
74,Sulawesi Tenggara,52.0,48.9,55.0,18.9,17.1,20.9,29.1,26.3,32.1,2707
75,Gorontalo,53.0,48.9,57.0,20.9,18.2,23.9,26.1,22.5,29.9,1255
76,Sulawesi Barat,43.7,38.5,49.0,17.0,13.9,20.7,39.3,34.7,44.1,1461
82,Maluku,42.4,38.9,46.0,14.1,12.1,16.3,43.5,39.9,47.2,1724
81,Maluku Utara,46.9,43.2,50.6,11.6,9.9,13.7,41.5,37.8,45.2,1167
92,Papua Barat,39.0,33.3,45.0,13.9,11.5,16.8,47.1,40.7,53.6,552
96,Papua Barat Daya,44.6,39.5,49.9,13.9,11.0,17.4,41.5,36.3,46.8,577
91,Papua,45.6,40.2,51.0,15.9,12.7,19.7,38.6,33.9,43.4,1019
93,Papua Selatan,25.3,20.3,31.0,15.5,12.5,19.1,59.2,53.7,64.4,530
94,Papua Tengah,30.2,24.6,36.4,14.0,9.2,20.8,55.8,48.0,63.2,1502
95,Papua Pegunungan,18.3,13.4,24.5,6.6,4.5,9.5,75.1,68.0,81.1,1462
0,INDONESIA,49.9,49.3,50.4,21.3,20.9,21.7,28.9,28.4,29.4,311492
