province_code,province,ukbm,ukbm_95%_CI_lower,ukbm_95%_CI_upper,public_place,public_place_95%_CI_lower,public_place_95%_CI_upper,others,others_95%_CI_lower,others_95%_CI_upper,weighted_n
11,Aceh,20.1,17.4,23.2,78.0,74.9,80.8,1.9,1.1,3.1,1210
12,Sumatera Utara,6.8,5.5,8.4,89.7,87.9,91.3,3.5,2.7,4.5,4759
13,Sumatera Barat,4.5,3.5,5.7,91.9,90.4,93.2,3.6,2.8,4.8,2084
14,Riau,6.0,4.4,8.2,89.7,87.1,91.9,4.3,3.0,6.1,2179
15,Jambi,10.2,7.8,13.2,86.1,82.5,89.0,3.7,2.2,6.2,949
16,Sumatera Selatan,12.5,10.4,15.0,84.7,82.0,87.0,2.8,1.8,4.2,2499
17,Bengkulu,9.6,7.4,12.4,88.0,85.0,90.4,2.4,1.5,3.8,549
18,Lampung,5.7,4.5,7.2,91.1,89.4,92.5,3.2,2.5,4.1,4039
19,Kep. Bangka Belitung,6.3,4.3,9.1,90.6,87.6,92.9,3.1,2.1,4.8,612
21,Kepulauan Riau,3.0,2.2,4.0,95.7,94.4,96.8,1.3,0.8,2.1,1353
31,DKI Jakarta,6.4,4.4,9.4,90.0,87.0,92.5,3.5,2.6,4.8,6129
32,Jawa Barat,9.4,8.4,10.4,84.5,83.2,85.6,6.2,5.5,7.0,29381
33,Jawa Tengah,5.6,4.8,6.6,90.3,89.1,91.3,4.1,3.5,4.8,19645
34,DI Yogyakarta,2.1,1.4,3.2,93.9,92.3,95.2,3.9,2.9,5.3,1922
35,Jawa Timur,9.5,8.5,10.6,83.2,81.9,84.5,7.3,6.5,8.2,23762
36,Banten,12.7,10.8,14.9,80.9,78.3,83.3,6.4,5.0,8.1,5564
51,Bali,3.2,2.5,4.1,96.1,95.1,96.9,0.7,0.4,1.2,2857
52,Nusa Tenggara Barat,12.9,10.3,16.0,75.4,71.4,78.9,11.8,9.0,15.3,3840
53,Nusa Tenggara Timur,7.7,6.4,9.1,90.1,88.5,91.4,2.3,1.7,3.0,2128
61,Kalimantan Barat,10.4,8.4,12.7,85.1,82.6,87.3,4.5,3.2,6.2,1999
62,Kalimantan Tengah,15.5,11.8,20.0,82.2,77.7,86.0,2.3,1.4,3.8,687
63,Kalimantan Selatan,6.3,5.0,8.0,90.3,88.4,91.9,3.4,2.6,4.5,1829
64,Kalimantan Timur,2.6,1.7,3.9,90.3,87.0,92.9,7.1,4.8,10.4,1566
65,Kalimantan Utara,5.2,3.3,8.2,90.6,87.1,93.3,4.1,2.5,6.7,249
71,Sulawesi Utara,10.3,8.1,13.0,86.7,83.9,89.1,3.0,2.2,4.2,1256
72,Sulawesi Tengah,7.7,5.6,10.4,87.5,84.6,89.9,4.8,3.6,6.4,1287
73,Sulawesi Selatan,5.1,4.3,6.1,91.6,90.4,92.7,3.2,2.7,3.9,4240
74,Sulawesi Tenggara,5.3,4.0,7.0,89.9,87.5,91.9,4.8,3.5,6.5,914
75,Gorontalo,1.1,0.7,1.7,98.1,97.3,98.6,0.9,0.5,1.4,762
76,Sulawesi Barat,7.5,5.1,10.8,88.8,85.2,91.7,3.7,2.2,6.3,641
82,Maluku,6.4,4.9,8.4,88.5,85.0,91.2,5.1,3.0,8.6,491
81,Maluku Utara,7.1,5.3,9.4,91.3,88.9,93.3,1.6,1.0,2.5,367
92,Papua Barat,10.1,4.9,19.7,78.7,66.8,87.2,11.2,4.6,25.0,104
96,Papua Barat Daya,1.5,0.8,2.8,94.8,92.1,96.6,3.7,2.1,6.3,217
91,Papua,6.4,3.0,13.4,90.9,84.3,94.9,2.6,1.2,5.5,159
93,Papua Selatan,25.8,18.7,34.4,72.3,63.7,79.5,1.9,0.8,4.6,105
94,Papua Tengah,7.4,2.5,20.1,88.0,76.2,94.4,4.6,1.9,10.6,97
95,Papua Pegunungan,0.0,0.0,0.0,98.2,88.3,99.8,1.8,0.2,11.7,23
0,INDONESIA,8.1,7.7,8.5,86.8,86.3,87.2,5.2,4.9,5.5,132452
