province_code,province,easy_access,easy_access_95%_CI_lower,easy_access_95%_CI_upper,difficult_access,difficult_access_95%_CI_lower,difficult_access_95%_CI_upper,very_difficult_access,very_difficult_access_95%_CI_lower,very_difficult_access_95%_CI_upper,weighted_n
11,Aceh,27.0,25.0,29.2,48.4,46.1,50.7,24.5,22.5,26.7,4653
12,Sumatera Utara,36.0,33.7,38.3,47.1,44.6,49.5,16.9,15.5,18.4,13087
13,Sumatera Barat,44.2,41.5,46.9,43.0,40.5,45.5,12.8,11.5,14.2,4883
14,Riau,36.6,33.9,39.4,45.9,43.2,48.6,17.5,15.4,19.9,6124
15,Jambi,35.2,32.5,38.0,46.7,44.0,49.5,18.1,16.1,20.3,3440
16,Sumatera Selatan,42.9,40.6,45.2,42.3,40.1,44.6,14.8,13.2,16.6,7928
17,Bengkulu,41.4,38.0,44.8,42.7,39.6,45.9,15.9,13.6,18.5,1950
18,Lampung,35.7,32.9,38.5,50.3,47.6,53.0,14.0,12.3,16.0,9044
19,Kep. Bangka Belitung,33.7,30.6,36.9,48.9,45.8,52.0,17.4,14.8,20.4,1409
21,Kepulauan Riau,35.4,30.9,40.3,50.3,46.0,54.6,14.2,11.9,17.0,2079
31,DKI Jakarta,32.3,29.2,35.6,52.7,49.9,55.5,14.9,13.0,17.1,9900
32,Jawa Barat,33.1,31.8,34.5,47.0,45.8,48.3,19.8,18.7,21.0,49204
33,Jawa Tengah,43.3,41.8,44.7,45.7,44.3,47.0,11.1,10.2,12.0,37612
34,DI Yogyakarta,39.3,35.9,42.8,51.3,47.9,54.6,9.4,7.6,11.7,4022
35,Jawa Timur,43.7,42.2,45.2,43.5,42.2,44.9,12.8,11.8,13.8,42384
36,Banten,35.3,32.8,38.0,48.9,46.4,51.3,15.8,14.0,17.7,11588
51,Bali,43.4,39.9,47.0,46.7,43.3,50.1,9.9,8.5,11.5,4360
52,Nusa Tenggara Barat,34.5,30.7,38.5,45.4,41.6,49.2,20.1,17.3,23.3,4608
53,Nusa Tenggara Timur,13.2,11.4,15.1,30.5,28.2,32.8,56.3,53.9,58.8,2613
61,Kalimantan Barat,29.1,26.5,31.9,42.9,40.1,45.7,28.0,25.5,30.6,4408
62,Kalimantan Tengah,26.8,23.8,30.0,39.8,36.4,43.4,33.4,30.1,36.8,2174
63,Kalimantan Selatan,30.9,28.5,33.4,45.3,42.8,47.8,23.8,21.5,26.2,3614
64,Kalimantan Timur,22.8,20.1,25.7,45.6,42.5,48.7,31.6,28.6,34.8,3428
65,Kalimantan Utara,15.3,11.7,19.8,53.2,48.3,57.9,31.5,27.0,36.5,524
71,Sulawesi Utara,25.5,22.8,28.4,46.3,42.7,50.0,28.1,25.7,30.8,2123
72,Sulawesi Tengah,28.0,24.4,31.9,37.0,33.5,40.7,35.0,31.5,38.6,1311
73,Sulawesi Selatan,23.1,20.8,25.5,35.3,33.2,37.5,41.6,39.3,43.9,5966
74,Sulawesi Tenggara,15.6,13.4,18.1,40.9,36.8,45.1,43.5,39.3,47.8,1357
75,Gorontalo,29.2,25.4,33.3,47.0,42.8,51.3,23.8,20.3,27.8,831
76,Sulawesi Barat,18.7,15.3,22.8,34.3,29.9,39.1,46.9,41.7,52.2,763
82,Maluku,17.2,13.7,21.5,28.9,24.0,34.4,53.9,47.9,59.8,734
81,Maluku Utara,28.1,23.4,33.4,25.1,21.0,29.6,46.8,42.0,51.6,439
92,Papua Barat,11.0,8.0,14.9,26.9,21.8,32.8,62.1,55.5,68.3,298
96,Papua Barat Daya,13.1,9.9,17.3,49.2,44.1,54.2,37.7,32.4,43.3,235
91,Papua,22.6,17.0,29.4,37.9,32.7,43.3,39.5,34.1,45.3,729
93,Papua Selatan,13.3,9.6,18.2,41.1,34.4,48.0,45.6,37.6,53.9,213
94,Papua Tengah,10.6,7.8,14.2,33.8,26.9,41.4,55.6,46.9,64.0,499
95,Papua Pegunungan,3.8,2.0,7.1,3.2,1.5,6.9,93.0,87.8,96.1,383
0,INDONESIA,36.4,35.9,36.9,45.5,45.0,46.0,18.1,17.7,18.5,250921
