province_code,province,in_district_or_city,nearest_district_or_city,none,unaware,weighted_n
11,Aceh,20.1,5.0,28.5,46.3,5756
12,Sumatera Utara,19.5,3.7,28.5,48.3,15886
13,Sumatera Barat,22.7,2.5,26.0,48.8,6043
14,Riau,24.8,5.4,26.2,43.6,7052
15,Jambi,27.5,4.0,14.9,53.5,4051
16,Sumatera Selatan,13.3,3.4,23.5,59.8,9402
17,Bengkulu,21.1,2.5,36.4,40.0,2323
18,Lampung,20.8,3.2,25.0,51.0,10424
19,Kep. Bangka Belitung,20.3,2.9,26.0,50.7,1708
21,Kepulauan Riau,31.4,2.7,15.4,50.4,2514
31,DKI Jakarta,27.0,2.5,17.5,52.9,12318
32,Jawa Barat,26.3,2.1,12.4,59.2,58514
33,Jawa Tengah,20.3,3.5,12.1,64.1,44459
34,DI Yogyakarta,32.4,2.4,12.2,53.0,4957
35,Jawa Timur,37.1,2.7,9.7,50.5,50591
36,Banten,21.5,2.4,12.0,64.1,13333
51,Bali,31.1,4.2,13.5,51.2,5149
52,Nusa Tenggara Barat,14.5,1.6,23.7,60.3,6849
53,Nusa Tenggara Timur,22.6,4.7,34.2,38.5,5335
61,Kalimantan Barat,23.0,3.6,26.6,46.8,5784
62,Kalimantan Tengah,37.2,5.8,25.1,31.9,3178
63,Kalimantan Selatan,16.1,1.3,19.1,63.4,5023
64,Kalimantan Timur,27.2,2.9,20.3,49.6,4320
65,Kalimantan Utara,23.9,3.2,28.3,44.6,729
71,Sulawesi Utara,26.1,8.0,30.4,35.5,3031
72,Sulawesi Tengah,8.6,2.8,47.7,40.8,3216
73,Sulawesi Selatan,14.6,4.6,27.8,53.0,9484
74,Sulawesi Tenggara,19.6,4.3,34.3,41.8,2733
75,Gorontalo,12.7,3.6,28.5,55.2,1260
76,Sulawesi Barat,10.4,1.7,25.4,62.6,1467
82,Maluku,17.2,3.7,47.2,31.8,1753
81,Maluku Utara,14.5,4.9,45.8,34.8,1222
92,Papua Barat,26.1,4.6,31.8,37.5,563
96,Papua Barat Daya,15.0,1.4,41.6,42.0,599
91,Papua,53.8,6.2,21.3,18.6,1029
93,Papua Selatan,15.6,2.6,34.3,47.5,546
94,Papua Tengah,11.8,1.0,59.3,27.9,1528
95,Papua Pegunungan,12.4,6.9,59.0,21.7,1516
0,INDONESIA,24.7,3.1,18.3,53.9,315646
