province_code,province,from_1_to_6_times,more_than_6_times,weighted_n
11,Aceh,87.4,12.6,713
12,Sumatera Utara,88.8,11.2,879
13,Sumatera Barat,96.5,3.5,437
14,Riau,95.4,4.6,551
15,Jambi,86.5,13.5,334
16,Sumatera Selatan,89.6,10.4,442
17,Bengkulu,89.3,10.7,113
18,Lampung,94.4,5.6,499
19,Kep. Bangka Belitung,96.4,3.6,76
21,Kepulauan Riau,95.7,4.3,246
31,DKI Jakarta,97.5,2.5,2768
32,Jawa Barat,95.6,4.4,4756
33,Jawa Tengah,94.7,5.3,3958
34,DI Yogyakarta,96.9,3.1,549
35,Jawa Timur,97.6,2.4,4432
36,Banten,96.0,4.0,1487
51,Bali,97.1,2.9,831
52,Nusa Tenggara Barat,94.7,5.3,369
53,Nusa Tenggara Timur,84.5,15.5,48
61,Kalimantan Barat,90.6,9.4,262
62,Kalimantan Tengah,84.8,15.2,222
63,Kalimantan Selatan,88.1,11.9,193
64,Kalimantan Timur,94.7,5.3,250
65,Kalimantan Utara,85.3,14.7,27
71,Sulawesi Utara,93.4,6.6,146
72,Sulawesi Tengah,83.6,16.4,71
73,Sulawesi Selatan,91.5,8.5,379
74,Sulawesi Tenggara,88.7,11.3,42
75,Gorontalo,93.9,6.1,46
76,Sulawesi Barat,86.0,14.0,22
82,Maluku,77.8,22.2,30
81,Maluku Utara,68.4,31.6,35
92,Papua Barat,86.4,13.6,9
96,Papua Barat Daya,92.1,7.9,18
91,Papua,87.8,12.2,71
93,Papua Selatan,93.2,6.8,21
94,Papua Tengah,93.7,6.3,32
95,Papua Pegunungan,90.3,9.7,6
0,INDONESIA,94.9,5.1,25368
