province_code,province,open_defecating,open_defecating_95%_CI_lower,open_defecating_95%_CI_upper,closed_defecating,closed_defecating_95%_CI_lower,closed_defecating_95%_CI_upper,inadequate_access,inadequate_access_95%_CI_lower,inadequate_access_95%_CI_upper,shared_inadequate_access,shared_inadequate_access_95%_CI_lower,shared_inadequate_access_95%_CI_upper,individual_adequate_access,individual_adequate_access_95%_CI_lower,individual_adequate_access_95%_CI_upper,safe_access,safe_access_95%_CI_lower,safe_access_95%_CI_upper,weighted_n
11,Aceh,6.9,6.0,7.9,2.4,2.0,2.9,6.4,5.8,7.2,2.2,1.8,2.6,65.2,63.7,66.8,16.9,15.6,18.1,5756
12,Sumatera Utara,2.7,2.3,3.1,4.8,3.9,5.9,5.8,5.0,6.7,1.2,0.9,1.5,77.2,75.6,78.6,8.3,7.2,9.6,15886
13,Sumatera Barat,7.7,6.8,8.6,12.1,10.9,13.5,5.8,5.1,6.7,3.1,2.6,3.7,61.1,59.2,63.0,10.2,9.2,11.2,6043
14,Riau,2.0,1.5,2.7,2.6,2.0,3.5,6.2,4.9,7.9,1.1,0.9,1.5,76.8,74.7,78.8,11.2,9.9,12.6,7052
15,Jambi,1.9,1.3,2.7,3.1,2.4,4.1,3.3,2.7,4.0,1.9,1.4,2.5,78.2,76.2,80.1,11.6,10.1,13.2,4051
16,Sumatera Selatan,3.1,2.7,3.7,4.1,3.2,5.1,5.3,4.6,6.1,2.0,1.6,2.5,78.4,76.8,80.1,7.0,6.1,8.0,9403
17,Bengkulu,3.2,2.4,4.3,2.5,1.9,3.3,7.6,6.4,9.0,1.5,1.1,1.9,77.7,75.5,79.7,7.5,6.2,9.0,2323
18,Lampung,1.3,1.0,1.7,1.5,1.1,2.0,4.4,3.8,5.2,2.2,1.7,2.6,83.4,81.6,85.0,7.2,5.8,8.9,10424
19,Kep. Bangka Belitung,2.0,1.6,2.5,0.5,0.3,0.9,5.4,4.0,7.1,1.3,1.0,1.8,84.2,82.2,85.9,6.6,5.7,7.7,1708
21,Kepulauan Riau,0.4,0.3,0.6,9.7,7.6,12.3,3.0,2.0,4.6,1.5,0.9,2.6,71.9,68.3,75.3,13.4,11.0,16.1,2514
31,DKI Jakarta,0.2,0.1,0.5,4.0,2.8,5.7,6.4,5.1,7.8,4.9,3.8,6.2,55.7,52.9,58.5,28.8,26.5,31.2,12318
32,Jawa Barat,2.3,2.0,2.6,13.2,12.2,14.3,8.3,7.6,9.2,3.3,2.9,3.7,61.6,60.2,62.9,11.4,10.7,12.1,58514
33,Jawa Tengah,2.2,1.9,2.6,6.3,5.5,7.1,3.7,3.3,4.2,3.3,3.0,3.7,71.3,70.2,72.5,13.1,12.4,13.9,44459
34,DI Yogyakarta,0.5,0.3,1.0,1.3,0.9,1.9,3.6,2.9,4.5,4.5,3.6,5.6,69.4,67.2,71.5,20.6,18.6,22.9,4957
35,Jawa Timur,3.7,3.2,4.3,3.3,2.9,3.8,6.6,6.0,7.1,3.2,2.8,3.6,70.6,69.6,71.7,12.6,11.8,13.4,50591
36,Banten,4.9,3.9,6.2,4.4,3.3,5.7,3.3,2.7,4.1,5.6,4.2,7.5,66.5,64.0,68.9,15.3,13.7,17.0,13333
51,Bali,1.5,1.1,2.1,0.3,0.2,0.6,3.5,2.8,4.4,6.3,4.8,8.3,66.5,63.7,69.3,21.8,19.3,24.5,5149
52,Nusa Tenggara Barat,4.4,3.5,5.5,2.8,2.1,3.7,4.7,4.0,5.6,9.7,8.1,11.5,70.1,67.6,72.4,8.3,7.1,9.8,6849
53,Nusa Tenggara Timur,5.6,5.1,6.3,0.4,0.3,0.7,21.3,19.8,22.8,5.6,5.0,6.2,65.2,63.5,66.8,1.9,1.5,2.3,5335
61,Kalimantan Barat,3.5,2.9,4.1,2.8,2.1,3.7,12.2,10.7,14.0,1.1,0.8,1.5,73.5,71.5,75.5,6.8,5.9,7.9,5784
62,Kalimantan Tengah,2.4,1.9,3.0,8.5,7.0,10.3,9.2,7.8,10.7,3.6,2.5,5.2,66.0,63.4,68.6,10.3,8.8,12.0,3178
63,Kalimantan Selatan,2.2,1.7,2.8,6.8,5.6,8.2,9.6,8.0,11.4,3.0,2.4,3.7,72.7,70.6,74.8,5.8,4.9,6.7,5023
64,Kalimantan Timur,0.9,0.7,1.4,5.4,3.9,7.4,6.9,5.7,8.2,1.5,1.1,2.1,77.0,74.6,79.3,8.3,7.2,9.6,4320
65,Kalimantan Utara,1.2,0.5,2.5,6.9,4.6,10.3,4.0,3.0,5.4,1.2,0.7,2.1,80.6,77.1,83.7,6.1,4.9,7.4,729
71,Sulawesi Utara,3.1,2.6,3.7,2.0,1.3,3.0,4.7,3.9,5.7,4.7,3.5,5.2,79.1,75.6,82.2,6.4,5.2,7.9,3031
72,Sulawesi Tengah,9.2,8.1,10.3,2.6,2.0,3.4,5.5,4.5,6.6,4.2,3.4,5.1,73.3,71.4,75.2,5.3,4.3,6.5,3216
73,Sulawesi Selatan,1.9,1.6,2.3,1.3,0.9,1.9,6.5,5.6,7.4,4.3,3.6,5.2,80.0,78.4,81.6,5.9,5.2,6.8,9484
74,Sulawesi Tenggara,4.4,3.8,5.2,2.2,1.6,3.0,7.6,6.6,8.6,5.0,4.0,6.2,77.8,76.3,79.3,3.0,2.5,3.7,2733
75,Gorontalo,5.9,4.7,7.3,1.3,0.7,2.5,7.5,6.3,9.0,6.6,5.6,7.7,74.2,71.6,76.6,4.5,3.7,5.5,1260
76,Sulawesi Barat,7.0,5.7,8.7,0.7,0.3,1.3,6.5,5.3,8.0,4.6,3.7,5.8,77.5,75.2,79.7,3.6,2.7,4.8,1468
82,Maluku,6.6,5.6,7.8,1.8,1.2,2.6,12.2,10.5,14.2,3.8,3.1,4.6,72.7,70.3,75.0,2.9,2.3,3.7,1753
