province_code,province,closed_containment,open_containment,no_containment,direct_discharge_to_rivers,weighted_n
11,Aceh,18.4,15.4,17.0,49.3,5756
12,Sumatera Utara,18.3,17.7,11.3,52.7,15886
13,Sumatera Barat,21.0,15.9,13.8,49.3,6043
14,Riau,15.5,17.2,21.5,45.9,7052
15,Jambi,34.8,16.8,16.2,32.2,4051
16,Sumatera Selatan,11.5,9.7,12.6,66.3,9403
17,Bengkulu,14.3,14.0,25.7,46.0,2323
18,Lampung,13.2,27.7,16.2,43.0,10424
19,Kep. Bangka Belitung,23.9,11.3,30.0,34.7,1708
21,Kepulauan Riau,7.8,3.0,6.6,82.6,2514
31,DKI Jakarta,19.3,2.3,0.3,78.0,12318
32,Jawa Barat,17.8,9.7,3.8,68.7,58514
33,Jawa Tengah,16.3,7.7,16.0,60.0,44459
34,DI Yogyakarta,60.1,5.0,19.1,15.8,4957
35,Jawa Timur,23.0,7.4,18.7,50.9,50591
36,Banten,16.8,7.3,7.6,68.3,13333
51,Bali,40.3,3.3,16.7,39.7,5149
52,Nusa Tenggara Barat,25.6,6.6,17.1,50.8,6849
53,Nusa Tenggara Timur,11.0,9.7,70.9,8.4,5335
61,Kalimantan Barat,12.8,9.9,30.8,46.5,5784
62,Kalimantan Tengah,13.8,8.4,32.1,45.7,3178
63,Kalimantan Selatan,16.3,7.2,47.3,29.2,5023
64,Kalimantan Timur,9.3,7.5,19.0,64.2,4320
65,Kalimantan Utara,21.3,6.8,20.9,51.0,729
71,Sulawesi Utara,8.6,5.1,21.2,65.1,3031
72,Sulawesi Tengah,12.7,11.3,35.9,40.2,3216
73,Sulawesi Selatan,14.2,7.2,30.2,48.4,9484
74,Sulawesi Tenggara,29.1,16.4,22.6,31.9,2733
75,Gorontalo,20.7,12.7,28.1,38.6,1260
76,Sulawesi Barat,9.4,6.5,32.6,51.5,1468
82,Maluku,19.8,10.1,35.5,34.6,1753
81,Maluku Utara,18.2,9.9,33.8,38.2,1222
92,Papua Barat,19.8,7.5,36.3,36.5,563
96,Papua Barat Daya,6.9,5.2,22.9,65.0,599
91,Papua,11.2,8.0,18.9,62.0,1030
93,Papua Selatan,10.1,9.6,51.1,29.2,546
94,Papua Tengah,14.1,7.3,21.1,57.5,1528
95,Papua Pegunungan,16.3,8.1,37.1,38.5,1516
0,INDONESIA,18.9,9.7,16.3,55.1,315646
