province_code,province,in_house,within_premise,outside_premise,weighted_n
11,Aceh,48.9,33.1,18.0,3142
12,Sumatera Utara,66.3,20.0,13.8,10021
13,Sumatera Barat,66.3,19.6,14.0,3527
14,Riau,39.4,47.9,12.7,3138
15,Jambi,44.3,50.4,5.4,2823
16,Sumatera Selatan,38.0,49.8,12.2,7326
17,Bengkulu,60.4,33.5,6.1,2072
18,Lampung,35.5,49.3,15.2,8310
19,Kep. Bangka Belitung,22.4,58.3,19.3,564
21,Kepulauan Riau,40.1,37.5,22.4,566
31,DKI Jakarta,67.9,23.2,8.9,2716
32,Jawa Barat,43.8,27.4,28.9,30082
33,Jawa Tengah,50.2,25.7,24.1,30593
34,DI Yogyakarta,47.1,41.9,11.0,3859
35,Jawa Timur,47.7,35.1,17.2,32371
36,Banten,51.3,26.7,22.1,5753
51,Bali,34.3,50.8,14.9,2606
52,Nusa Tenggara Barat,41.7,43.6,14.7,4659
53,Nusa Tenggara Timur,11.2,51.3,37.6,4969
61,Kalimantan Barat,34.2,55.0,10.8,4193
62,Kalimantan Tengah,30.2,42.0,27.8,1427
63,Kalimantan Selatan,50.2,32.1,17.7,2880
64,Kalimantan Timur,44.9,26.8,28.3,924
65,Kalimantan Utara,55.6,26.3,18.1,201
71,Sulawesi Utara,43.3,34.7,21.9,1401
72,Sulawesi Tengah,48.9,28.8,22.3,1749
73,Sulawesi Selatan,46.4,32.3,21.3,5820
74,Sulawesi Tenggara,32.0,39.9,28.1,1646
75,Gorontalo,25.1,56.7,18.2,417
76,Sulawesi Barat,43.4,27.5,29.2,1020
82,Maluku,27.8,40.8,31.4,1362
81,Maluku Utara,47.6,32.6,19.8,941
92,Papua Barat,32.2,44.1,23.7,378
96,Papua Barat Daya,18.2,46.0,35.7,255
91,Papua,44.9,38.1,16.9,535
93,Papua Selatan,22.0,38.0,40.1,337
94,Papua Tengah,9.3,61.5,29.1,1187
95,Papua Pegunungan,8.8,51.0,40.2,1386
0,INDONESIA,45.4,34.1,20.5,187152
