province_code,province,closed_waste_containers_only,open_waste_containers_only,no_waste_containers,both_open_and_closed,weighted_n
11,Aceh,9.0,69.5,12.8,8.7,5756
12,Sumatera Utara,12.7,70.2,10.5,6.6,15886
13,Sumatera Barat,10.4,72.6,8.6,8.4,6043
14,Riau,9.8,67.4,10.6,12.2,7052
15,Jambi,14.8,51.2,14.0,20.0,4051
16,Sumatera Selatan,16.6,68.0,7.0,8.4,9403
17,Bengkulu,7.8,71.2,11.5,9.5,2323
18,Lampung,12.1,67.5,9.8,10.6,10424
19,Kep. Bangka Belitung,19.4,63.7,5.5,11.4,1708
21,Kepulauan Riau,12.8,74.8,7.8,4.6,2514
31,DKI Jakarta,21.4,59.4,2.8,16.4,12318
32,Jawa Barat,14.4,69.3,7.6,8.7,58514
33,Jawa Tengah,10.5,74.5,5.3,9.7,44459
34,DI Yogyakarta,19.2,72.4,2.4,6.0,4957
35,Jawa Timur,15.6,68.2,5.8,10.4,50591
36,Banten,18.3,69.1,4.9,7.7,13333
51,Bali,16.9,68.0,3.1,12.0,5149
52,Nusa Tenggara Barat,9.6,73.4,10.7,6.3,6849
53,Nusa Tenggara Timur,5.3,64.5,25.5,4.7,5335
61,Kalimantan Barat,11.5,66.1,12.0,10.4,5784
62,Kalimantan Tengah,13.2,56.3,13.6,16.9,3178
63,Kalimantan Selatan,13.4,66.7,9.8,10.1,5023
64,Kalimantan Timur,15.1,65.2,9.4,10.3,4320
65,Kalimantan Utara,17.1,71.5,4.4,7.0,729
71,Sulawesi Utara,8.5,72.1,6.2,13.2,3031
72,Sulawesi Tengah,7.1,70.4,15.4,7.1,3216
73,Sulawesi Selatan,13.4,68.0,9.9,8.8,9484
74,Sulawesi Tenggara,13.2,68.3,10.5,8.0,2733
75,Gorontalo,7.2,71.1,11.6,10.2,1260
76,Sulawesi Barat,7.5,73.7,14.1,4.7,1468
82,Maluku,21.8,60.6,9.3,8.3,1753
81,Maluku Utara,13.4,57.2,18.2,11.2,1222
92,Papua Barat,10.0,62.8,12.7,14.5,563
96,Papua Barat Daya,7.5,70.9,9.4,12.2,599
91,Papua,18.8,58.8,10.1,12.3,1030
93,Papua Selatan,8.3,58.4,25.8,7.5,546
94,Papua Tengah,14.0,32.8,40.5,12.8,1528
95,Papua Pegunungan,18.7,47.9,28.7,4.7,1516
0,INDONESIA,13.7,68.6,8.1,9.6,315646
