province_code,province,sink_tap,bucket_barrel_with_spout,bucket_barrel_with_water_dipper,others,weighted_n
11,Aceh,32.2,6.9,60.1,0.8,3479
12,Sumatera Utara,36.1,6.7,57.0,0.3,11287
13,Sumatera Barat,52.9,8.6,38.2,0.3,4269
14,Riau,47.1,6.3,46.4,0.2,5185
15,Jambi,48.0,9.8,42.0,0.3,3120
16,Sumatera Selatan,37.9,9.1,52.8,0.2,7212
17,Bengkulu,42.1,10.6,47.1,0.2,1657
18,Lampung,68.6,7.4,23.7,0.2,8737
19,Kep. Bangka Belitung,61.4,7.7,30.8,0.1,1437
21,Kepulauan Riau,81.0,3.5,15.4,0.1,2145
31,DKI Jakarta,82.9,6.5,10.5,0.1,10594
32,Jawa Barat,71.1,5.6,23.0,0.3,48970
33,Jawa Tengah,81.0,6.7,12.1,0.2,39341
34,DI Yogyakarta,90.6,3.8,5.3,0.3,4562
35,Jawa Timur,76.9,6.2,16.8,0.2,43085
36,Banten,73.5,5.8,20.4,0.2,10410
51,Bali,91.0,4.4,4.5,0.1,4771
52,Nusa Tenggara Barat,71.4,14.9,13.4,0.3,5063
53,Nusa Tenggara Timur,22.2,13.4,62.6,1.8,2365
61,Kalimantan Barat,34.4,6.8,58.4,0.3,4058
62,Kalimantan Tengah,57.1,12.8,29.8,0.3,2334
63,Kalimantan Selatan,72.4,6.3,21.0,0.4,4445
64,Kalimantan Timur,81.2,5.2,13.5,0.1,3826
65,Kalimantan Utara,72.2,10.4,17.3,0.1,609
71,Sulawesi Utara,54.5,15.6,28.7,1.2,2581
72,Sulawesi Tengah,50.0,10.3,39.2,0.5,2598
73,Sulawesi Selatan,54.7,9.4,35.6,0.3,7576
74,Sulawesi Tenggara,41.6,9.6,48.4,0.3,1923
75,Gorontalo,62.3,14.7,22.7,0.3,913
76,Sulawesi Barat,51.6,14.1,33.6,0.6,1076
82,Maluku,33.1,21.1,42.1,3.7,1359
81,Maluku Utara,31.8,23.2,43.5,1.5,1026
92,Papua Barat,38.3,17.0,43.7,1.0,322
96,Papua Barat Daya,31.0,13.3,55.3,0.3,464
91,Papua,39.7,14.6,45.4,0.3,764
93,Papua Selatan,31.7,9.9,57.8,0.5,348
94,Papua Tengah,31.7,16.8,43.9,7.6,857
95,Papua Pegunungan,22.0,19.5,56.1,2.4,547
0,INDONESIA,67.5,7.2,24.9,0.3,255312
