province_code,province,concrete_or_asphalt,clay_tile,asbestos,zinc,bamboo,wood_shingles,straw_leaves_palm,other,proper_roof,weighted_n
11,Aceh,3.6,1.3,2.2,90.5,0.2,1.1,1.1,0.1,96.4,5756
12,Sumatera Utara,3.8,1.7,5.4,87.0,0.1,1.0,0.8,0.1,93.5,15884
13,Sumatera Barat,2.4,1.2,1.3,94.0,0.0,0.4,0.6,0.1,98.0,6042
14,Riau,3.0,1.9,1.9,91.3,0.1,1.0,0.7,0.1,97.3,7051
15,Jambi,4.3,14.8,2.2,76.3,0.1,1.9,0.2,0.1,97.3,4051
16,Sumatera Selatan,3.0,48.3,6.8,39.4,0.1,1.2,0.6,0.5,91.9,9402
17,Bengkulu,1.9,3.0,1.3,92.9,0.1,0.6,0.1,0.0,98.4,2323
18,Lampung,2.6,83.4,7.7,4.3,0.2,0.6,0.9,0.4,90.8,10424
19,Kep. Bangka Belitung,4.0,8.5,59.6,26.4,0.1,0.2,0.2,1.0,39.0,1707
21,Kepulauan Riau,4.7,1.2,28.5,62.8,0.0,0.6,0.2,2.0,69.4,2514
31,DKI Jakarta,5.9,29.9,57.5,4.7,0.0,0.3,0.0,1.6,40.9,12317
32,Jawa Barat,6.7,73.5,15.9,1.8,0.4,0.6,0.1,1.0,82.6,58510
33,Jawa Tengah,3.3,81.1,6.5,7.1,0.2,0.7,0.5,0.5,92.2,44456
34,DI Yogyakarta,3.6,88.5,4.0,1.7,0.1,0.2,1.2,0.8,94.0,4957
35,Jawa Timur,4.0,85.2,7.9,1.2,0.3,0.5,0.4,0.5,90.9,50588
36,Banten,4.6,68.7,22.8,2.0,0.3,0.5,0.4,0.8,75.7,13332
51,Bali,4.0,78.1,4.5,12.6,0.5,0.1,0.1,0.1,94.8,5149
52,Nusa Tenggara Barat,4.6,44.3,11.6,35.6,0.1,0.5,0.5,2.7,85.1,6849
53,Nusa Tenggara Timur,0.9,0.7,0.7,93.9,0.3,0.2,3.2,0.1,95.7,5333
61,Kalimantan Barat,1.9,1.6,1.0,93.3,0.2,1.4,0.4,0.1,98.3,5783
62,Kalimantan Tengah,3.2,4.4,5.3,77.1,0.2,9.4,0.3,0.2,94.0,3178
63,Kalimantan Selatan,2.5,4.1,8.1,77.5,0.2,5.6,0.9,1.1,89.7,5023
64,Kalimantan Timur,2.7,5.6,5.0,83.5,0.2,2.6,0.0,0.4,94.4,4319
65,Kalimantan Utara,2.6,1.0,0.6,93.0,0.1,2.6,0.0,0.1,99.2,729
71,Sulawesi Utara,6.3,0.8,1.6,89.6,0.2,0.9,0.4,0.1,97.6,3031
72,Sulawesi Tengah,2.8,1.1,1.1,91.7,0.1,0.8,2.3,0.1,96.4,3215
73,Sulawesi Selatan,2.9,1.6,1.9,89.9,0.1,1.6,0.5,1.5,95.9,9483
74,Sulawesi Tenggara,2.9,2.3,3.9,88.8,0.1,0.8,0.8,0.4,94.8,2733
75,Gorontalo,1.6,0.6,0.4,96.3,0.2,0.3,0.6,0.0,98.8,1260
76,Sulawesi Barat,2.3,0.6,0.9,93.6,0.1,0.7,1.5,0.3,97.2,1467
82,Maluku,3.3,0.9,2.7,90.3,0.1,0.6,2.0,0.1,95.1,1751
81,Maluku Utara,8.5,0.9,1.1,87.5,0.2,0.5,1.1,0.1,97.4,1222
92,Papua Barat,2.5,1.3,1.1,94.5,0.0,0.4,0.1,0.0,98.7,563
96,Papua Barat Daya,1.9,0.8,1.2,94.4,0.0,0.5,1.0,0.1,97.6,599
91,Papua,2.0,1.0,2.5,92.4,0.1,1.2,0.7,0.1,96.6,1029
93,Papua Selatan,1.1,0.4,1.1,85.8,0.3,3.6,7.6,0.1,90.8,546
94,Papua Tengah,1.2,1.2,0.4,76.5,2.0,8.9,9.3,0.5,87.9,1528
95,Papua Pegunungan,0.7,0.7,0.8,67.4,0.2,10.5,17.9,1.8,79.2,1516
0,INDONESIA,4.1,51.4,10.6,31.4,0.2,1.0,0.7,0.7,87.8,315621
