province_code,province,concrete_grc_board,gypsum,asbestos,wood_polywood_or_bamboo,pcv,others,none,weighted_n
11,Aceh,2.7,4.2,7.7,42.9,4.9,5.5,32.1,5756
12,Sumatera Utara,2.7,8.8,38.5,19.7,1.1,1.1,28.2,15884
13,Sumatera Barat,2.9,5.3,1.3,53.1,1.5,3.1,32.8,6042
14,Riau,1.9,8.3,4.1,52.0,2.0,4.5,27.2,7051
15,Jambi,5.3,14.7,2.8,34.4,2.0,7.2,33.7,4051
16,Sumatera Selatan,4.0,9.3,2.0,34.1,3.3,2.3,45.0,9402
17,Bengkulu,2.8,3.4,0.5,48.6,1.7,0.6,42.3,2323
18,Lampung,1.5,9.6,2.0,19.7,5.3,2.6,59.2,10424
19,Kep. Bangka Belitung,2.4,16.1,23.6,19.2,4.9,3.5,30.4,1707
21,Kepulauan Riau,5.3,38.2,4.2,31.5,0.5,1.2,19.1,2514
31,DKI Jakarta,10.6,25.3,8.5,50.5,0.4,1.3,3.4,12317
32,Jawa Barat,32.3,18.4,7.6,29.8,1.0,2.7,8.1,58510
33,Jawa Tengah,6.5,18.0,4.4,13.1,2.7,2.8,52.5,44456
34,DI Yogyakarta,10.2,19.5,4.5,16.9,1.3,2.3,45.1,4957
35,Jawa Timur,6.7,17.7,22.8,12.2,1.9,1.8,36.9,50588
36,Banten,15.1,23.3,6.8,35.0,1.6,1.6,16.6,13332
51,Bali,11.4,17.8,7.5,47.8,1.2,1.1,13.1,5149
52,Nusa Tenggara Barat,7.6,7.9,2.7,27.6,1.3,6.0,46.9,6849
53,Nusa Tenggara Timur,0.8,4.1,0.3,17.4,0.6,0.7,76.2,5333
61,Kalimantan Barat,11.8,9.4,3.6,42.2,1.0,2.5,29.7,5783
62,Kalimantan Tengah,3.2,7.3,4.5,44.8,0.7,2.9,36.6,3178
63,Kalimantan Selatan,3.7,7.1,3.3,32.8,1.5,16.2,35.5,5023
64,Kalimantan Timur,5.3,14.0,2.1,51.8,2.6,3.0,21.0,4319
65,Kalimantan Utara,4.1,7.2,1.7,62.9,1.4,1.8,20.9,729
71,Sulawesi Utara,6.3,5.7,0.7,49.6,0.2,1.4,36.0,3031
72,Sulawesi Tengah,3.2,6.7,0.3,27.5,1.1,5.4,55.8,3215
73,Sulawesi Selatan,4.2,8.8,3.3,25.3,1.0,12.3,45.0,9483
74,Sulawesi Tenggara,3.7,7.9,1.2,21.3,0.8,11.5,53.6,2733
75,Gorontalo,4.0,8.7,0.3,50.6,0.4,1.4,34.6,1260
76,Sulawesi Barat,2.2,3.1,1.6,21.9,1.0,15.8,54.5,1467
82,Maluku,3.5,2.4,1.7,43.0,0.4,0.8,48.1,1751
81,Maluku Utara,6.6,2.6,0.3,36.0,0.4,0.9,53.2,1222
92,Papua Barat,1.8,2.4,1.0,64.8,0.6,0.2,29.2,563
96,Papua Barat Daya,1.3,1.5,0.3,68.6,0.2,0.4,27.8,599
91,Papua,1.8,1.8,5.0,69.4,0.7,1.0,20.3,1029
93,Papua Selatan,1.3,1.0,0.4,53.0,0.5,1.1,42.6,546
94,Papua Tengah,1.0,1.9,0.8,69.3,0.7,3.7,22.7,1528
95,Papua Pegunungan,0.8,0.3,0.1,75.9,0.4,1.7,20.9,1516
0,INDONESIA,10.9,14.7,9.4,27.7,1.7,3.1,32.3,315621
