province_code,province,diagnosis,diagnosis_95%_CI_lower,diagnosis_95%_CI_upper,diagnosis_or_symptoms,diagnosis_or_symptoms_95%_CI_lower,diagnosis_or_symptoms_95%_CI_upper,weighted_n
11,Aceh,4.3,3.5,5.3,6.0,5.0,7.0,1930
12,Sumatera Utara,4.8,4.0,5.7,7.2,6.2,8.4,5446
13,Sumatera Barat,5.1,4.1,6.3,6.8,5.7,8.2,1910
14,Riau,2.5,1.9,3.4,3.8,3.0,4.9,2290
15,Jambi,3.3,2.4,4.6,4.4,3.3,5.8,1229
16,Sumatera Selatan,4.5,3.6,5.5,5.9,4.9,7.2,2856
17,Bengkulu,2.6,1.7,3.8,4.1,3.0,5.7,696
18,Lampung,4.8,3.7,6.1,6.2,4.9,7.8,3023
19,Kep. Bangka Belitung,1.8,1.1,2.9,3.8,2.5,5.6,489
21,Kepulauan Riau,1.4,0.8,2.4,4.2,2.7,6.2,738
31,DKI Jakarta,4.1,2.5,6.6,5.9,4.0,8.8,2893
32,Jawa Barat,7.1,6.3,8.1,11.0,9.9,12.2,15291
33,Jawa Tengah,4.2,3.6,4.9,6.5,5.8,7.4,10716
34,DI Yogyakarta,2.9,1.7,4.9,3.9,2.5,6.1,930
35,Jawa Timur,4.8,4.1,5.6,6.5,5.7,7.4,11052
36,Banten,5.6,4.3,7.3,8.2,6.5,10.3,3819
51,Bali,3.4,2.5,4.6,4.9,3.7,6.4,1205
52,Nusa Tenggara Barat,5.3,4.0,6.9,8.9,6.9,11.5,1953
53,Nusa Tenggara Timur,4.5,3.8,5.3,7.5,6.6,8.6,2191
61,Kalimantan Barat,3.3,2.5,4.5,4.8,3.7,6.1,1892
62,Kalimantan Tengah,2.8,2.0,4.0,4.6,3.4,6.2,923
63,Kalimantan Selatan,4.1,3.1,5.3,5.9,4.8,7.4,1389
64,Kalimantan Timur,4.7,3.4,6.5,7.8,6.1,10.0,1247
65,Kalimantan Utara,2.2,1.3,3.7,3.6,2.2,5.7,245
71,Sulawesi Utara,2.7,2.0,3.8,5.5,4.1,7.2,766
72,Sulawesi Tengah,5.5,4.4,6.9,7.9,6.5,9.6,1044
73,Sulawesi Selatan,5.3,4.5,6.4,9.1,7.9,10.4,2990
74,Sulawesi Tenggara,2.7,2.1,3.6,5.3,4.3,6.6,1018
75,Gorontalo,6.4,4.5,8.9,9.2,7.0,12.0,402
76,Sulawesi Barat,6.4,4.0,10.0,8.8,6.3,12.3,553
82,Maluku,2.4,1.6,3.5,4.7,3.4,6.3,682
81,Maluku Utara,4.3,3.2,5.9,5.1,3.9,6.7,477
92,Papua Barat,3.7,2.2,6.3,5.7,3.9,8.2,212
96,Papua Barat Daya,4.7,3.2,7.0,7.3,5.3,9.9,230
91,Papua,4.2,2.9,6.1,5.5,3.9,7.7,433
93,Papua Selatan,7.1,4.8,10.5,9.1,6.5,12.5,288
94,Papua Tengah,8.7,6.1,12.4,17.8,12.9,24.1,467
95,Papua Pegunungan,17.5,13.8,21.8,23.5,18.9,28.9,450
0,INDONESIA,4.9,4.7,5.2,7.4,7.1,7.8,86364
